,model,acc,f1,P,neg,ratio
0,CCRNE,0.5140728476821192,0.6790595954073264,0.01,6040,0.1
0,CCRNE,0.5232692307692308,0.6870344653452847,0.01,5200,0.2
0,CCRNE,0.5262569832402234,0.6896046852122987,0.01,4475,0.3
0,CCRNE,0.5336091003102379,0.6958867161159811,0.01,3868,0.4
0,CCRNE,0.5405246094901267,0.7017409603979338,0.01,3393,0.5
0,CCRNE,0.5428846771602955,0.7037268373932959,0.01,3113,0.6
0,CCRNE,0.5397631133671743,0.701098901098901,0.01,2955,0.7
0,CCRNE,0.5517490082942661,0.7111317685335812,0.01,2773,0.8
0,CCRNE,0.5583913379737045,0.7166253101736972,0.01,2586,0.9
0,CCRNE,0.5597535934291581,0.7177461822011585,0.01,2435,1.0
0,CCRNE,0.5253479125248509,0.6888237210817856,0.02,6036,0.1
0,CCRNE,0.5460311358831443,0.7063649925410244,0.02,5203,0.2
0,CCRNE,0.5657054809597183,0.7226205539153663,0.02,4543,0.3
0,CCRNE,0.5789997511818861,0.7333753545540498,0.02,4019,0.4
0,CCRNE,0.5935858446226154,0.7449687716863289,0.02,3617,0.5
0,CCRNE,0.5921245959447546,0.7438169066076042,0.02,3403,0.6
0,CCRNE,0.5931782945736435,0.7446477228493578,0.02,3225,0.7
0,CCRNE,0.5872703412073491,0.7399751963621332,0.02,3048,0.8
0,CCRNE,0.5908149171270718,0.7427827219448665,0.02,2896,0.9
0,CCRNE,0.5961186378615891,0.7469603119981647,0.02,2731,1.0
0,CCRNE,0.5361085972850679,0.698008719217627,0.03,5525,0.1
0,CCRNE,0.5498456109395677,0.7095488828803188,0.03,4534,0.2
0,CCRNE,0.545883586785527,0.7062415196743554,0.03,3814,0.3
0,CCRNE,0.5287958115183246,0.6917808219178082,0.03,3247,0.4
0,CCRNE,0.48295866569978246,0.6513447432762837,0.03,2758,0.5
0,CCRNE,0.4710904152114862,0.6404642574518596,0.03,2577,0.6
0,CCRNE,0.45587010824313073,0.6262510723477266,0.03,2402,0.7
0,CCRNE,0.46042830540037244,0.6305387312719158,0.03,2148,0.8
0,CCRNE,0.4813800657174151,0.6499075785582256,0.03,1826,0.9
0,CCRNE,0.554144385026738,0.7131182795698925,0.03,1496,1.0
0,CCRNE,0.5591119333950046,0.7172184644594755,0.04,5405,0.1
0,CCRNE,0.5842450765864332,0.7375690607734806,0.04,4570,0.2
0,CCRNE,0.5787789266371246,0.7331981911741775,0.04,4062,0.3
0,CCRNE,0.5572005383580081,0.7156439066551427,0.04,3715,0.4
0,CCRNE,0.5380870561282932,0.6996834853844721,0.04,3492,0.5
0,CCRNE,0.5185856754306437,0.6829850746268656,0.04,3309,0.6
0,CCRNE,0.5103904282115869,0.6758390660829685,0.04,3176,0.7
0,CCRNE,0.5003287310979618,0.6669588080631026,0.04,3042,0.8
0,CCRNE,0.4963015146178232,0.6633709981167608,0.04,2839,0.9
0,CCRNE,0.5065134099616858,0.6724313326551373,0.04,2610,1.0
0,CCRNE,0.5725190839694656,0.7281553398058253,0.05,5109,0.1
0,CCRNE,0.5961762648636045,0.7470055506865323,0.05,4289,0.2
0,CCRNE,0.5735790293277965,0.7290120402441036,0.05,3853,0.3
0,CCRNE,0.5514867841409692,0.7109139307897072,0.05,3632,0.4
0,CCRNE,0.5351082504388531,0.6971602820659425,0.05,3418,0.5
0,CCRNE,0.5166917293233083,0.6813404719413048,0.05,3325,0.6
0,CCRNE,0.49720843672456577,0.6641806505075616,0.05,3224,0.7
0,CCRNE,0.49445531637312456,0.6617197730248799,0.05,3066,0.8
0,CCRNE,0.49188998589562766,0.659418577168518,0.05,2836,0.9
0,CCRNE,0.509895227008149,0.6754047802621435,0.05,2577,1.0
