L,P,acc,f1,acc_per_epoch,f1_per_epoch,losses,model
2,0.01,0.96,0.9795918367346939,"[0.66, 0.7, 0.755, 0.79, 0.82, 0.86, 0.89, 0.9, 0.905, 0.935, 0.935, 0.93, 0.93, 0.94, 0.94, 0.935, 0.95, 0.955, 0.955, 0.96]","[0.7951807228915663, 0.8235294117647058, 0.8603988603988604, 0.88268156424581, 0.9010989010989011, 0.9247311827956989, 0.9417989417989417, 0.9473684210526315, 0.9501312335958005, 0.9664082687338501, 0.9664082687338501, 0.9637305699481865, 0.9637305699481865, 0.9690721649484536, 0.9690721649484536, 0.9664082687338501, 0.9743589743589743, 0.9769820971867008, 0.9769820971867008, 0.9795918367346939]","[0.6945212483406067, 0.6931705474853516, 0.6919533610343933, 0.6908517479896545, 0.6898526549339294, 0.6889449954032898, 0.6881201863288879, 0.6873705983161926, 0.686689555644989, 0.6860709190368652, 0.6855089068412781, 0.6849985718727112, 0.6845352649688721, 0.6841145753860474, 0.6837331652641296, 0.6833872199058533, 0.6830735206604004, 0.6827895641326904, 0.6825322508811951, 0.6822993755340576]",RGCN_MLP
3,0.01,0.925,0.961038961038961,"[0.84, 0.83, 0.86, 0.875, 0.885, 0.905, 0.915, 0.92, 0.92, 0.92, 0.915, 0.925, 0.92, 0.925, 0.925, 0.925, 0.925, 0.925, 0.925, 0.925]","[0.9130434782608695, 0.907103825136612, 0.9247311827956989, 0.9333333333333333, 0.9389920424403183, 0.9501312335958005, 0.9556135770234987, 0.9583333333333334, 0.9583333333333334, 0.9583333333333334, 0.9556135770234987, 0.961038961038961, 0.9583333333333334, 0.961038961038961, 0.961038961038961, 0.961038961038961, 0.961038961038961, 0.961038961038961, 0.961038961038961, 0.961038961038961]","[0.6934080719947815, 0.6922054886817932, 0.6911258101463318, 0.6901491284370422, 0.6892616748809814, 0.688452959060669, 0.6877149939537048, 0.6870412230491638, 0.6864262819290161, 0.6858647465705872, 0.6853526830673218, 0.6848856210708618, 0.6844600439071655, 0.6840720772743225, 0.6837186217308044, 0.6833966374397278, 0.6831033825874329, 0.682836651802063, 0.6825940012931824, 0.6823735237121582]",RGCN_MLP
4,0.01,0.93,0.9637305699481865,"[0.795, 0.84, 0.78, 0.77, 0.78, 0.785, 0.8, 0.835, 0.865, 0.87, 0.9, 0.905, 0.915, 0.92, 0.925, 0.925, 0.93, 0.93, 0.93, 0.93]","[0.8857938718662952, 0.9130434782608695, 0.8764044943820225, 0.8700564971751412, 0.8764044943820225, 0.8795518207282913, 0.8888888888888888, 0.9100817438692098, 0.9276139410187667, 0.93048128342246, 0.9473684210526315, 0.9501312335958005, 0.9556135770234987, 0.9583333333333334, 0.961038961038961, 0.961038961038961, 0.9637305699481865, 0.9637305699481865, 0.9637305699481865, 0.9637305699481865]","[0.6945111155509949, 0.693206250667572, 0.6920536756515503, 0.6910201907157898, 0.6900820732116699, 0.6892244219779968, 0.6884365677833557, 0.687709629535675, 0.6870365738868713, 0.6864137649536133, 0.6858372092247009, 0.6853043437004089, 0.6848125457763672, 0.684359610080719, 0.6839430928230286, 0.6835606098175049, 0.6832097768783569, 0.6828888654708862, 0.6825955510139465, 0.6823272705078125]",RGCN_MLP
5,0.01,0.94,0.9690721649484536,"[0.86, 0.805, 0.765, 0.74, 0.735, 0.74, 0.755, 0.77, 0.8, 0.82, 0.835, 0.87, 0.88, 0.88, 0.89, 0.905, 0.93, 0.94, 0.94, 0.94]","[0.9247311827956989, 0.8919667590027701, 0.8668555240793201, 0.8505747126436781, 0.8472622478386167, 0.8505747126436781, 0.8603988603988604, 0.8700564971751412, 0.8888888888888888, 0.9010989010989011, 0.9100817438692098, 0.93048128342246, 0.9361702127659575, 0.9361702127659575, 0.9417989417989417, 0.9501312335958005, 0.9637305699481865, 0.9690721649484536, 0.9690721649484536, 0.9690721649484536]","[0.6959244608879089, 0.6946402192115784, 0.6935526728630066, 0.6925939917564392, 0.6917232275009155, 0.6909224390983582, 0.6901844143867493, 0.689502477645874, 0.6888748407363892, 0.6882959604263306, 0.6877620816230774, 0.6872695088386536, 0.686815619468689, 0.6863979697227478, 0.6860142946243286, 0.6856619119644165, 0.6853394508361816, 0.6850447654724121, 0.6847758889198303, 0.6845301985740662]",RGCN_MLP
,0.01,0.875,0.9333333333333333,"[0.81, 0.815, 0.815, 0.83, 0.84, 0.855, 0.84, 0.83, 0.845, 0.85, 0.845, 0.85, 0.85, 0.855, 0.855, 0.86, 0.865, 0.875, 0.875, 0.875]","[0.8950276243093923, 0.8980716253443526, 0.8980716253443526, 0.907103825136612, 0.9130434782608695, 0.921832884097035, 0.9130434782608695, 0.907103825136612, 0.9159891598915989, 0.918918918918919, 0.9159891598915989, 0.918918918918919, 0.918918918918919, 0.921832884097035, 0.921832884097035, 0.9247311827956989, 0.9276139410187667, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333]","[0.6951399445533752, 0.6940464973449707, 0.6930640339851379, 0.6921796202659607, 0.6913828253746033, 0.6906640529632568, 0.6900153160095215, 0.689429521560669, 0.6889005899429321, 0.6884230375289917, 0.6879917979240417, 0.6876022219657898, 0.6872504949569702, 0.6869329214096069, 0.6866461634635925, 0.686387300491333, 0.6861536502838135, 0.6859427690505981, 0.6857525110244751, 0.6855807900428772]",GCN_MLP
,0.01,0.815,0.8980716253443526,,,,CCRNE
,0.01,0.88,0.9361702127659575,,,,MCLS
,0.01,0.77,0.8700564971751412,,,,LP_PUL
,0.01,0.785,0.8795518207282913,,,,PU_LP
,0.01,0.785,0.8795518207282913,,,,RCSVM
