L,P,acc,f1,acc_per_epoch,f1_per_epoch,losses,model
1,0.01,0.685,0.8130563798219584,"[0.635, 0.65, 0.675, 0.71, 0.72, 0.715, 0.73, 0.735, 0.735, 0.74, 0.75, 0.755, 0.755, 0.755, 0.76, 0.765, 0.765, 0.775, 0.77, 0.77, 0.775, 0.78, 0.795, 0.8, 0.805, 0.825, 0.82, 0.78, 0.75, 0.705, 0.7, 0.695, 0.685, 0.67, 0.67, 0.68, 0.69, 0.69, 0.695, 0.69, 0.685, 0.68, 0.68, 0.68, 0.68, 0.685, 0.685, 0.685, 0.685, 0.685]","[0.7767584097859327, 0.7878787878787878, 0.8059701492537313, 0.8304093567251462, 0.8372093023255814, 0.8338192419825073, 0.8439306358381503, 0.8472622478386167, 0.8472622478386167, 0.8505747126436781, 0.8571428571428571, 0.8603988603988604, 0.8603988603988604, 0.8603988603988604, 0.8636363636363636, 0.8668555240793201, 0.8668555240793201, 0.8732394366197183, 0.8700564971751412, 0.8700564971751412, 0.8732394366197183, 0.8764044943820225, 0.8857938718662952, 0.8888888888888888, 0.8919667590027701, 0.9041095890410958, 0.9010989010989011, 0.8764044943820225, 0.8571428571428571, 0.8269794721407625, 0.8235294117647058, 0.8200589970501475, 0.8130563798219584, 0.8023952095808383, 0.8023952095808383, 0.8095238095238095, 0.8165680473372781, 0.8165680473372781, 0.8200589970501475, 0.8165680473372781, 0.8130563798219584, 0.8095238095238095, 0.8095238095238095, 0.8095238095238095, 0.8095238095238095, 0.8130563798219584, 0.8130563798219584, 0.8130563798219584, 0.8130563798219584, 0.8130563798219584]","[0.6940200328826904, 0.6904814839363098, 0.686994194984436, 0.6828885674476624, 0.6777597069740295, 0.6712483167648315, 0.6629767417907715, 0.652569591999054, 0.6396602392196655, 0.6239178776741028, 0.605074942111969, 0.5829712152481079, 0.5575847625732422, 0.5290505886077881, 0.49767419695854187, 0.4639143943786621, 0.4283985495567322, 0.39187970757484436, 0.35519179701805115, 0.31919655203819275, 0.28470882773399353, 0.25244495272636414, 0.22296826541423798, 0.19665449857711792, 0.17368219792842865, 0.15404435992240906, 0.13758182525634766, 0.12402620911598206, 0.11304066330194473, 0.10426147282123566, 0.09732941538095474, 0.09191051870584488, 0.08770877867937088, 0.08447098731994629, 0.08198656886816025, 0.08008435368537903, 0.07862770557403564, 0.07750909775495529, 0.07664507627487183, 0.07597146928310394, 0.0754394680261612, 0.07501225173473358, 0.07466228306293488, 0.0743691623210907, 0.07411791384220123, 0.07389761507511139, 0.0737004354596138, 0.07352077215909958, 0.07335464656352997, 0.0731993019580841]",RGCN
3,0.01,0.685,0.8130563798219584,"[0.725, 0.725, 0.745, 0.745, 0.75, 0.75, 0.765, 0.77, 0.775, 0.79, 0.76, 0.695, 0.675, 0.695, 0.705, 0.695, 0.705, 0.71, 0.705, 0.705, 0.715, 0.715, 0.71, 0.71, 0.71, 0.705, 0.71, 0.71, 0.71, 0.69, 0.69, 0.69, 0.69, 0.7, 0.695, 0.69, 0.7, 0.695, 0.71, 0.71, 0.705, 0.715, 0.715, 0.71, 0.705, 0.705, 0.7, 0.695, 0.695, 0.685]","[0.8405797101449275, 0.8405797101449275, 0.8538681948424068, 0.8538681948424068, 0.8571428571428571, 0.8571428571428571, 0.8668555240793201, 0.8700564971751412, 0.8732394366197183, 0.88268156424581, 0.8636363636363636, 0.8200589970501475, 0.8059701492537313, 0.8200589970501475, 0.8269794721407625, 0.8200589970501475, 0.8269794721407625, 0.8304093567251462, 0.8269794721407625, 0.8269794721407625, 0.8338192419825073, 0.8338192419825073, 0.8304093567251462, 0.8304093567251462, 0.8304093567251462, 0.8269794721407625, 0.8304093567251462, 0.8304093567251462, 0.8304093567251462, 0.8165680473372781, 0.8165680473372781, 0.8165680473372781, 0.8165680473372781, 0.8235294117647058, 0.8200589970501475, 0.8165680473372781, 0.8235294117647058, 0.8200589970501475, 0.8304093567251462, 0.8304093567251462, 0.8269794721407625, 0.8338192419825073, 0.8338192419825073, 0.8304093567251462, 0.8269794721407625, 0.8269794721407625, 0.8235294117647058, 0.8200589970501475, 0.8200589970501475, 0.8130563798219584]","[0.6929911375045776, 0.6840436458587646, 0.670441746711731, 0.6471329927444458, 0.6106715798377991, 0.5586439967155457, 0.4909273386001587, 0.41076135635375977, 0.3251825273036957, 0.24390694499015808, 0.17649415135383606, 0.12872451543807983, 0.10065454244613647, 0.08799239993095398, 0.08509418368339539, 0.08720000088214874, 0.09115076810121536, 0.09516370296478271, 0.09837435185909271, 0.10047155618667603, 0.10143553465604782, 0.10138597339391708, 0.10050567239522934, 0.09899330139160156, 0.09703782945871353, 0.0948042944073677, 0.09242875874042511, 0.09001544117927551, 0.08763997256755829, 0.08535537868738174, 0.08319709450006485, 0.08118803799152374, 0.07934268563985825, 0.07766874134540558, 0.07616840302944183, 0.07483891397714615, 0.07367285341024399, 0.07265938818454742, 0.07178536802530289, 0.0710364282131195, 0.07039785385131836, 0.06985531747341156, 0.06939534842967987, 0.06900560855865479, 0.06867508590221405, 0.06839419901371002, 0.06815467029809952, 0.06794948875904083, 0.06777278333902359, 0.06761962920427322]",RGCN
5,0.01,0.68,0.8095238095238095,"[0.715, 0.76, 0.76, 0.77, 0.765, 0.77, 0.79, 0.77, 0.685, 0.685, 0.715, 0.71, 0.7, 0.695, 0.705, 0.705, 0.705, 0.705, 0.71, 0.715, 0.71, 0.72, 0.71, 0.71, 0.695, 0.705, 0.685, 0.705, 0.7, 0.705, 0.7, 0.705, 0.7, 0.695, 0.7, 0.685, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68, 0.675, 0.675, 0.68, 0.68, 0.68]","[0.8338192419825073, 0.8636363636363636, 0.8636363636363636, 0.8700564971751412, 0.8668555240793201, 0.8700564971751412, 0.88268156424581, 0.8700564971751412, 0.8130563798219584, 0.8130563798219584, 0.8338192419825073, 0.8304093567251462, 0.8235294117647058, 0.8200589970501475, 0.8269794721407625, 0.8269794721407625, 0.8269794721407625, 0.8269794721407625, 0.8304093567251462, 0.8338192419825073, 0.8304093567251462, 0.8372093023255814, 0.8304093567251462, 0.8304093567251462, 0.8200589970501475, 0.8269794721407625, 0.8130563798219584, 0.8269794721407625, 0.8235294117647058, 0.8269794721407625, 0.8235294117647058, 0.8269794721407625, 0.8235294117647058, 0.8200589970501475, 0.8235294117647058, 0.8130563798219584, 0.8095238095238095, 0.8095238095238095, 0.8095238095238095, 0.8095238095238095, 0.8095238095238095, 0.8095238095238095, 0.8095238095238095, 0.8095238095238095, 0.8095238095238095, 0.8059701492537313, 0.8059701492537313, 0.8095238095238095, 0.8095238095238095, 0.8095238095238095]","[0.693616509437561, 0.6795285940170288, 0.6534553170204163, 0.6065660119056702, 0.5345866680145264, 0.4402003884315491, 0.3349708318710327, 0.23731988668441772, 0.16418194770812988, 0.12148433923721313, 0.10353865474462509, 0.10036685317754745, 0.10373787581920624, 0.10864243656396866, 0.11263436824083328, 0.11477124691009521, 0.11486081779003143, 0.11311668902635574, 0.10998129099607468, 0.1059410572052002, 0.1014254093170166, 0.0967772826552391, 0.09225110709667206, 0.08802351355552673, 0.08421000093221664, 0.08088047802448273, 0.07806582003831863, 0.07575768977403641, 0.07391581684350967, 0.07248092442750931, 0.07138646394014359, 0.07056591659784317, 0.06995714455842972, 0.06950480490922928, 0.06916209310293198, 0.0688919946551323, 0.06866692751646042, 0.06846749782562256, 0.06828095018863678, 0.06809991598129272, 0.06792087852954865, 0.06774301826953888, 0.06756705045700073, 0.06739457696676254, 0.06722749024629593, 0.06706761568784714, 0.06691646575927734, 0.06677515059709549, 0.06664435565471649, 0.06652436405420303]",RGCN
,0.01,0.69,0.8165680473372781,"[0.695, 0.745, 0.75, 0.77, 0.785, 0.795, 0.795, 0.8, 0.805, 0.8, 0.795, 0.805, 0.8, 0.795, 0.795, 0.795, 0.8, 0.805, 0.805, 0.805, 0.815, 0.83, 0.795, 0.76, 0.685, 0.695, 0.7, 0.7, 0.69, 0.695, 0.69, 0.685, 0.69, 0.69, 0.69, 0.69, 0.695, 0.695, 0.695, 0.695, 0.69, 0.69, 0.69, 0.69, 0.69, 0.69, 0.69, 0.69, 0.69, 0.69]","[0.8200589970501475, 0.8538681948424068, 0.8571428571428571, 0.8700564971751412, 0.8795518207282913, 0.8857938718662952, 0.8857938718662952, 0.8888888888888888, 0.8919667590027701, 0.8888888888888888, 0.8857938718662952, 0.8919667590027701, 0.8888888888888888, 0.8857938718662952, 0.8857938718662952, 0.8857938718662952, 0.8888888888888888, 0.8919667590027701, 0.8919667590027701, 0.8919667590027701, 0.8980716253443526, 0.907103825136612, 0.8857938718662952, 0.8636363636363636, 0.8130563798219584, 0.8200589970501475, 0.8235294117647058, 0.8235294117647058, 0.8165680473372781, 0.8200589970501475, 0.8165680473372781, 0.8130563798219584, 0.8165680473372781, 0.8165680473372781, 0.8165680473372781, 0.8165680473372781, 0.8200589970501475, 0.8200589970501475, 0.8200589970501475, 0.8200589970501475, 0.8165680473372781, 0.8165680473372781, 0.8165680473372781, 0.8165680473372781, 0.8165680473372781, 0.8165680473372781, 0.8165680473372781, 0.8165680473372781, 0.8165680473372781, 0.8165680473372781]","[0.6933380961418152, 0.688572108745575, 0.6831772327423096, 0.6762174367904663, 0.6670581698417664, 0.6551356911659241, 0.6399337649345398, 0.6210039258003235, 0.5980222225189209, 0.5708341598510742, 0.5395066142082214, 0.5043497681617737, 0.4659525156021118, 0.4251578152179718, 0.38303613662719727, 0.3408030569553375, 0.29972755908966064, 0.261000394821167, 0.2256247103214264, 0.19431470334529877, 0.16745664179325104, 0.1451082080602646, 0.12704148888587952, 0.11282699555158615, 0.10192202776670456, 0.0937490165233612, 0.08775512129068375, 0.08344827592372894, 0.0804133340716362, 0.07831452041864395, 0.07688914984464645, 0.07593700289726257, 0.07530912756919861, 0.07489673048257828, 0.07462216913700104, 0.0744309276342392, 0.07428576797246933, 0.0741620883345604, 0.07404424995183945, 0.07392305135726929, 0.0737936720252037, 0.07365424931049347, 0.07350476831197739, 0.07334639132022858, 0.07318089157342911, 0.07301028072834015, 0.07283666729927063, 0.07266195863485336, 0.07248792797327042, 0.07231608033180237]",GCN
,0.01,0.76,0.8636363636363636,"[0.65, 0.65, 0.665, 0.69, 0.695, 0.695, 0.7, 0.695, 0.735, 0.75, 0.745, 0.77, 0.775, 0.775, 0.78, 0.775, 0.78, 0.79, 0.79, 0.79, 0.79, 0.785, 0.785, 0.785, 0.785, 0.785, 0.805, 0.8, 0.805, 0.805, 0.805, 0.8, 0.8, 0.79, 0.77, 0.765, 0.775, 0.785, 0.785, 0.77, 0.765, 0.775, 0.77, 0.755, 0.75, 0.755, 0.76, 0.755, 0.76, 0.76]","[0.7878787878787878, 0.7878787878787878, 0.7987987987987988, 0.8165680473372781, 0.8200589970501475, 0.8200589970501475, 0.8235294117647058, 0.8200589970501475, 0.8472622478386167, 0.8571428571428571, 0.8538681948424068, 0.8700564971751412, 0.8732394366197183, 0.8732394366197183, 0.8764044943820225, 0.8732394366197183, 0.8764044943820225, 0.88268156424581, 0.88268156424581, 0.88268156424581, 0.88268156424581, 0.8795518207282913, 0.8795518207282913, 0.8795518207282913, 0.8795518207282913, 0.8795518207282913, 0.8919667590027701, 0.8888888888888888, 0.8919667590027701, 0.8919667590027701, 0.8919667590027701, 0.8888888888888888, 0.8888888888888888, 0.88268156424581, 0.8700564971751412, 0.8668555240793201, 0.8732394366197183, 0.8795518207282913, 0.8795518207282913, 0.8700564971751412, 0.8668555240793201, 0.8732394366197183, 0.8700564971751412, 0.8603988603988604, 0.8571428571428571, 0.8603988603988604, 0.8636363636363636, 0.8603988603988604, 0.8636363636363636, 0.8636363636363636]","[0.6948497891426086, 0.6798288822174072, 0.6648102402687073, 0.6479396820068359, 0.6288352608680725, 0.6076928973197937, 0.5848840475082397, 0.5608026385307312, 0.5358251333236694, 0.510297954082489, 0.4845357835292816, 0.4588211178779602, 0.4334046244621277, 0.40850600600242615, 0.3843139111995697, 0.3609859347343445, 0.3386504650115967, 0.31740954518318176, 0.2973380386829376, 0.27848464250564575, 0.2608765959739685, 0.24452079832553864, 0.22940510511398315, 0.2155006378889084, 0.20276518166065216, 0.191145658493042, 0.1805809736251831, 0.1710042655467987, 0.1623457968235016, 0.15453465282917023, 0.14750035107135773, 0.14117427170276642, 0.13549073040485382, 0.13038776814937592, 0.12580761313438416, 0.12169680744409561, 0.11800643801689148, 0.11469194293022156, 0.11171305924654007, 0.1090334877371788, 0.10662069916725159, 0.10444562137126923, 0.10248234868049622, 0.10070786625146866, 0.09910169988870621, 0.09764571487903595, 0.09632385522127151, 0.09512189030647278, 0.09402721375226974, 0.09302867203950882]",AE
1,0.03,0.705,0.8269794721407625,"[0.715, 0.73, 0.745, 0.78, 0.8, 0.815, 0.805, 0.795, 0.795, 0.795, 0.8, 0.8, 0.8, 0.795, 0.8, 0.805, 0.805, 0.8, 0.8, 0.805, 0.805, 0.81, 0.825, 0.805, 0.795, 0.77, 0.73, 0.71, 0.69, 0.695, 0.695, 0.695, 0.7, 0.7, 0.7, 0.69, 0.69, 0.695, 0.7, 0.7, 0.7, 0.7, 0.7, 0.705, 0.705, 0.705, 0.705, 0.705, 0.705, 0.705]","[0.8338192419825073, 0.8439306358381503, 0.8538681948424068, 0.8764044943820225, 0.8888888888888888, 0.8980716253443526, 0.8919667590027701, 0.8857938718662952, 0.8857938718662952, 0.8857938718662952, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8857938718662952, 0.8888888888888888, 0.8919667590027701, 0.8919667590027701, 0.8888888888888888, 0.8888888888888888, 0.8919667590027701, 0.8919667590027701, 0.8950276243093923, 0.9041095890410958, 0.8919667590027701, 0.8857938718662952, 0.8700564971751412, 0.8439306358381503, 0.8304093567251462, 0.8165680473372781, 0.8200589970501475, 0.8200589970501475, 0.8200589970501475, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8165680473372781, 0.8165680473372781, 0.8200589970501475, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8269794721407625, 0.8269794721407625, 0.8269794721407625, 0.8269794721407625, 0.8269794721407625, 0.8269794721407625, 0.8269794721407625]","[0.693665623664856, 0.6894584894180298, 0.6848883032798767, 0.6792031526565552, 0.6718770861625671, 0.6624500751495361, 0.650486171245575, 0.6355782747268677, 0.6173868179321289, 0.5956662893295288, 0.5703108310699463, 0.5413827300071716, 0.5091375708580017, 0.47403520345687866, 0.43673497438430786, 0.39806485176086426, 0.3589756190776825, 0.32047080993652344, 0.2835346758365631, 0.24904067814350128, 0.21768006682395935, 0.18991319835186005, 0.1659528762102127, 0.14578071236610413, 0.12918537855148315, 0.11582038551568985, 0.1052631214261055, 0.09706729650497437, 0.09080305695533752, 0.08608026057481766, 0.08256159722805023, 0.07996656745672226, 0.0780683234333992, 0.07668785750865936, 0.07568640261888504, 0.0749584212899208, 0.07442468404769897, 0.07402670383453369, 0.07372185587882996, 0.07347960025072098, 0.07327844947576523, 0.07310359179973602, 0.07294504344463348, 0.0727963000535965, 0.07265327125787735, 0.07251358032226562, 0.07237599045038223, 0.07223998755216599, 0.07210555672645569, 0.07197297364473343]",RGCN
3,0.03,0.685,0.8130563798219584,"[0.615, 0.65, 0.7, 0.72, 0.745, 0.74, 0.75, 0.75, 0.755, 0.78, 0.77, 0.715, 0.685, 0.695, 0.71, 0.705, 0.705, 0.7, 0.71, 0.715, 0.71, 0.71, 0.71, 0.72, 0.72, 0.71, 0.705, 0.705, 0.7, 0.695, 0.7, 0.7, 0.685, 0.68, 0.685, 0.685, 0.69, 0.685, 0.7, 0.69, 0.695, 0.695, 0.695, 0.695, 0.7, 0.695, 0.7, 0.695, 0.69, 0.685]","[0.7616099071207431, 0.7878787878787878, 0.8235294117647058, 0.8372093023255814, 0.8538681948424068, 0.8505747126436781, 0.8571428571428571, 0.8571428571428571, 0.8603988603988604, 0.8764044943820225, 0.8700564971751412, 0.8338192419825073, 0.8130563798219584, 0.8200589970501475, 0.8304093567251462, 0.8269794721407625, 0.8269794721407625, 0.8235294117647058, 0.8304093567251462, 0.8338192419825073, 0.8304093567251462, 0.8304093567251462, 0.8304093567251462, 0.8372093023255814, 0.8372093023255814, 0.8304093567251462, 0.8269794721407625, 0.8269794721407625, 0.8235294117647058, 0.8200589970501475, 0.8235294117647058, 0.8235294117647058, 0.8130563798219584, 0.8095238095238095, 0.8130563798219584, 0.8130563798219584, 0.8165680473372781, 0.8130563798219584, 0.8235294117647058, 0.8165680473372781, 0.8200589970501475, 0.8200589970501475, 0.8200589970501475, 0.8200589970501475, 0.8235294117647058, 0.8200589970501475, 0.8235294117647058, 0.8200589970501475, 0.8165680473372781, 0.8130563798219584]","[0.6931179165840149, 0.6834161281585693, 0.6680968999862671, 0.6423093676567078, 0.60289466381073, 0.5480351448059082, 0.4782932698726654, 0.3975955545902252, 0.31343451142311096, 0.2353772073984146, 0.17195847630500793, 0.1275748759508133, 0.10150347650051117, 0.08949022740125656, 0.08638283610343933, 0.08792804181575775, 0.09128417074680328, 0.09481608122587204, 0.09770332276821136, 0.09960828721523285, 0.10047057271003723, 0.10038178414106369, 0.09950831532478333, 0.09804010391235352, 0.09615784883499146, 0.09401684254407883, 0.09174208343029022, 0.0894288644194603, 0.08714859932661057, 0.0849534347653389, 0.08288078755140305, 0.0809556320309639, 0.07919272780418396, 0.07759857922792435, 0.07617300003767014, 0.0749107301235199, 0.07380279153585434, 0.07283763587474823, 0.07200215011835098, 0.07128243893384933, 0.07066470384597778, 0.07013563066720963, 0.06968287378549576, 0.06929522752761841, 0.06896275281906128, 0.06867680698633194, 0.06842997670173645, 0.06821595132350922, 0.06802947074174881, 0.06786611676216125]",RGCN
5,0.03,0.69,0.8165680473372781,"[0.735, 0.79, 0.795, 0.795, 0.785, 0.795, 0.81, 0.71, 0.695, 0.705, 0.71, 0.725, 0.73, 0.73, 0.725, 0.72, 0.73, 0.73, 0.735, 0.73, 0.735, 0.73, 0.72, 0.71, 0.71, 0.705, 0.705, 0.7, 0.71, 0.72, 0.715, 0.7, 0.695, 0.685, 0.69, 0.685, 0.695, 0.695, 0.695, 0.695, 0.695, 0.695, 0.69, 0.69, 0.69, 0.69, 0.685, 0.69, 0.69, 0.69]","[0.8472622478386167, 0.88268156424581, 0.8857938718662952, 0.8857938718662952, 0.8795518207282913, 0.8857938718662952, 0.8950276243093923, 0.8304093567251462, 0.8200589970501475, 0.8269794721407625, 0.8304093567251462, 0.8405797101449275, 0.8439306358381503, 0.8439306358381503, 0.8405797101449275, 0.8372093023255814, 0.8439306358381503, 0.8439306358381503, 0.8472622478386167, 0.8439306358381503, 0.8472622478386167, 0.8439306358381503, 0.8372093023255814, 0.8304093567251462, 0.8304093567251462, 0.8269794721407625, 0.8269794721407625, 0.8235294117647058, 0.8304093567251462, 0.8372093023255814, 0.8338192419825073, 0.8235294117647058, 0.8200589970501475, 0.8130563798219584, 0.8165680473372781, 0.8130563798219584, 0.8200589970501475, 0.8200589970501475, 0.8200589970501475, 0.8200589970501475, 0.8200589970501475, 0.8200589970501475, 0.8165680473372781, 0.8165680473372781, 0.8165680473372781, 0.8165680473372781, 0.8130563798219584, 0.8165680473372781, 0.8165680473372781, 0.8165680473372781]","[0.6950204372406006, 0.6784605979919434, 0.6477654576301575, 0.592930793762207, 0.5107346773147583, 0.40715405344963074, 0.29858896136283875, 0.20588497817516327, 0.1431495100259781, 0.11083705723285675, 0.10020243376493454, 0.10122314095497131, 0.10651006549596786, 0.11182679980993271, 0.11532195657491684, 0.1165427565574646, 0.11566345393657684, 0.11310601234436035, 0.10935600847005844, 0.10488150268793106, 0.10008907318115234, 0.0953269749879837, 0.09085685759782791, 0.08684799075126648, 0.08337051421403885, 0.08042673766613007, 0.07797680795192719, 0.07596096396446228, 0.0743144303560257, 0.07297762483358383, 0.07190011441707611, 0.07103840261697769, 0.07035320997238159, 0.06980890035629272, 0.06937354803085327, 0.06901941448450089, 0.0687239021062851, 0.06846952438354492, 0.06824339181184769, 0.06803663074970245, 0.06784360110759735, 0.06766108423471451, 0.06748752295970917, 0.06732242554426193, 0.06716591119766235, 0.06701835989952087, 0.06688018888235092, 0.06675168871879578, 0.06663302332162857, 0.0665242001414299]",RGCN
,0.03,0.69,0.8165680473372781,"[0.645, 0.695, 0.72, 0.745, 0.74, 0.75, 0.75, 0.75, 0.765, 0.77, 0.775, 0.785, 0.785, 0.78, 0.78, 0.785, 0.785, 0.78, 0.78, 0.775, 0.775, 0.78, 0.785, 0.8, 0.82, 0.78, 0.74, 0.705, 0.685, 0.69, 0.695, 0.7, 0.695, 0.685, 0.685, 0.69, 0.68, 0.69, 0.69, 0.69, 0.695, 0.695, 0.695, 0.69, 0.69, 0.69, 0.69, 0.69, 0.69, 0.69]","[0.78419452887538, 0.8200589970501475, 0.8372093023255814, 0.8538681948424068, 0.8505747126436781, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8668555240793201, 0.8700564971751412, 0.8732394366197183, 0.8795518207282913, 0.8795518207282913, 0.8764044943820225, 0.8764044943820225, 0.8795518207282913, 0.8795518207282913, 0.8764044943820225, 0.8764044943820225, 0.8732394366197183, 0.8732394366197183, 0.8764044943820225, 0.8795518207282913, 0.8888888888888888, 0.9010989010989011, 0.8764044943820225, 0.8505747126436781, 0.8269794721407625, 0.8130563798219584, 0.8165680473372781, 0.8200589970501475, 0.8235294117647058, 0.8200589970501475, 0.8130563798219584, 0.8130563798219584, 0.8165680473372781, 0.8095238095238095, 0.8165680473372781, 0.8165680473372781, 0.8165680473372781, 0.8200589970501475, 0.8200589970501475, 0.8200589970501475, 0.8165680473372781, 0.8165680473372781, 0.8165680473372781, 0.8165680473372781, 0.8165680473372781, 0.8165680473372781, 0.8165680473372781]","[0.6933762431144714, 0.6891409158706665, 0.6845898032188416, 0.6789758801460266, 0.671795666217804, 0.6626097559928894, 0.6510052680969238, 0.6366124153137207, 0.6191150546073914, 0.5982807874679565, 0.573991060256958, 0.546276330947876, 0.5153385400772095, 0.48156726360321045, 0.4455433487892151, 0.4080110490322113, 0.3698473274707794, 0.33198603987693787, 0.2953660190105438, 0.2608424425125122, 0.22912248969078064, 0.20071132481098175, 0.1758868396282196, 0.15470701456069946, 0.13703657686710358, 0.12259683012962341, 0.11101838201284409, 0.10189053416252136, 0.09480203688144684, 0.08936912566423416, 0.08525185286998749, 0.08216114342212677, 0.07985854893922806, 0.07815250754356384, 0.07689197361469269, 0.07596004754304886, 0.07526744902133942, 0.07474691420793533, 0.07434847205877304, 0.0740354061126709, 0.07378123700618744, 0.07356700301170349, 0.07337949424982071, 0.07320964336395264, 0.07305142283439636, 0.0729009136557579, 0.07275572419166565, 0.07261452078819275, 0.07247660309076309, 0.07234175503253937]",GCN
,0.03,0.665,0.7987987987987988,"[0.78, 0.755, 0.755, 0.725, 0.73, 0.73, 0.725, 0.735, 0.765, 0.765, 0.79, 0.8, 0.825, 0.825, 0.825, 0.82, 0.82, 0.825, 0.83, 0.83, 0.83, 0.835, 0.835, 0.83, 0.82, 0.825, 0.81, 0.785, 0.74, 0.725, 0.73, 0.73, 0.725, 0.71, 0.705, 0.7, 0.71, 0.695, 0.68, 0.69, 0.695, 0.7, 0.68, 0.68, 0.685, 0.665, 0.665, 0.67, 0.68, 0.665]","[0.8764044943820225, 0.8603988603988604, 0.8603988603988604, 0.8405797101449275, 0.8439306358381503, 0.8439306358381503, 0.8405797101449275, 0.8472622478386167, 0.8668555240793201, 0.8668555240793201, 0.88268156424581, 0.8888888888888888, 0.9041095890410958, 0.9041095890410958, 0.9041095890410958, 0.9010989010989011, 0.9010989010989011, 0.9041095890410958, 0.907103825136612, 0.907103825136612, 0.907103825136612, 0.9100817438692098, 0.9100817438692098, 0.907103825136612, 0.9010989010989011, 0.9041095890410958, 0.8950276243093923, 0.8795518207282913, 0.8505747126436781, 0.8405797101449275, 0.8439306358381503, 0.8439306358381503, 0.8405797101449275, 0.8304093567251462, 0.8269794721407625, 0.8235294117647058, 0.8304093567251462, 0.8200589970501475, 0.8095238095238095, 0.8165680473372781, 0.8200589970501475, 0.8235294117647058, 0.8095238095238095, 0.8095238095238095, 0.8130563798219584, 0.7987987987987988, 0.7987987987987988, 0.8023952095808383, 0.8095238095238095, 0.7987987987987988]","[0.6957812309265137, 0.6773663759231567, 0.6595802903175354, 0.6398573517799377, 0.6176900267601013, 0.5932698249816895, 0.5670261979103088, 0.5394408106803894, 0.5109848976135254, 0.4820958077907562, 0.45316994190216064, 0.4245609641075134, 0.3965791165828705, 0.36949029564857483, 0.3435158133506775, 0.3188328742980957, 0.2955750823020935, 0.2738342583179474, 0.25366276502609253, 0.23507966101169586, 0.21807169914245605, 0.20259922742843628, 0.18860121071338654, 0.17600005865097046, 0.1647065281867981, 0.15462423861026764, 0.14565341174602509, 0.13769394159317017, 0.1306476593017578, 0.12442053854465485, 0.11892399936914444, 0.1140759289264679, 0.10980109870433807, 0.10603135079145432, 0.10270542651414871, 0.09976872056722641, 0.09717286378145218, 0.09487522393465042, 0.09283841401338577, 0.09102969616651535, 0.08942056447267532, 0.08798615634441376, 0.08670485764741898, 0.08555791527032852, 0.08452899754047394, 0.08360396325588226, 0.08277048170566559, 0.08201786130666733, 0.08133677393198013, 0.08071911334991455]",AE
