model,acc,f1,P,neg,L
CCRNE,0.515,0.6798679867986799,0.01,200.0,
MCLS,0.505,0.6710963455149501,0.01,200.0,
LP_PUL,0.465,0.6348122866894198,0.01,200.0,
PU_LP,0.46153846153846156,0.631578947368421,0.01,13.0,
RCSVM,0.4033214709371293,0.5748098055790364,0.01,843.0,
RANDOM,0.455,0.6254295532646048,0.01,,
RGCN_GAE,0.47,0.6394557823129252,0.01,,2.0
RGCN_GAE,0.46,0.6301369863013698,0.01,,3.0
RGCN_GAE,0.5,0.6666666666666666,0.01,,4.0
RGCN_GAE,0.485,0.6531986531986532,0.01,,5.0
RLP_PUL,0.475,0.6440677966101694,0.01,,
GCN_GAE,0.47,0.6394557823129252,0.01,,
CCRNE,0.45,0.6206896551724138,0.02,200.0,
MCLS,0.505,0.6710963455149501,0.02,200.0,
LP_PUL,0.475,0.6440677966101694,0.02,200.0,
PU_LP,0.5384615384615384,0.7,0.02,26.0,
RCSVM,0.4873341375150784,0.6553122465531225,0.02,829.0,
RANDOM,0.51,0.6754966887417219,0.02,,
RGCN_GAE,0.51,0.6754966887417219,0.02,,2.0
RGCN_GAE,0.49,0.6577181208053692,0.02,,3.0
RGCN_GAE,0.53,0.6928104575163399,0.02,,4.0
RGCN_GAE,0.495,0.6622073578595318,0.02,,5.0
RLP_PUL,0.46,0.6301369863013698,0.02,,
GCN_GAE,0.445,0.615916955017301,0.02,,
CCRNE,0.44,0.6111111111111112,0.03,200.0,
MCLS,0.495,0.6622073578595318,0.03,200.0,
LP_PUL,0.5,0.6666666666666666,0.03,200.0,
PU_LP,0.35,0.5185185185185185,0.03,40.0,
RCSVM,0.40816326530612246,0.5797101449275363,0.03,882.0,
RANDOM,0.5,0.6666666666666666,0.03,,
RGCN_GAE,0.485,0.6531986531986532,0.03,,2.0
RGCN_GAE,0.47,0.6394557823129252,0.03,,3.0
RGCN_GAE,0.495,0.6622073578595318,0.03,,4.0
RGCN_GAE,0.43,0.6013986013986014,0.03,,5.0
RLP_PUL,0.46,0.6301369863013698,0.03,,
GCN_GAE,0.445,0.615916955017301,0.03,,
CCRNE,0.48,0.6486486486486487,0.04,200.0,
MCLS,0.55,0.7096774193548387,0.04,200.0,
LP_PUL,0.5,0.6666666666666666,0.04,200.0,
PU_LP,0.4528301886792453,0.6233766233766234,0.04,53.0,
RCSVM,0.4777911164465786,0.6466287571080422,0.04,833.0,
RANDOM,0.505,0.6710963455149501,0.04,,
RGCN_GAE,0.545,0.7055016181229773,0.04,,2.0
RGCN_GAE,0.54,0.7012987012987013,0.04,,3.0
RGCN_GAE,0.56,0.717948717948718,0.04,,4.0
RGCN_GAE,0.55,0.7096774193548387,0.04,,5.0
RLP_PUL,0.525,0.6885245901639344,0.04,,
GCN_GAE,0.515,0.6798679867986799,0.04,,
CCRNE,0.515,0.6798679867986799,0.05,200.0,
MCLS,0.51,0.6754966887417219,0.05,200.0,
LP_PUL,0.49,0.6577181208053692,0.05,200.0,
PU_LP,0.44776119402985076,0.6185567010309279,0.05,67.0,
RCSVM,0.34649122807017546,0.5146579804560261,0.05,684.0,
RANDOM,0.47,0.6394557823129252,0.05,,
RGCN_GAE,0.53,0.6928104575163399,0.05,,2.0
RGCN_GAE,0.605,0.7538940809968847,0.05,,3.0
RGCN_GAE,0.55,0.7096774193548387,0.05,,4.0
RGCN_GAE,0.525,0.6885245901639344,0.05,,5.0
RLP_PUL,0.495,0.6622073578595318,0.05,,
GCN_GAE,0.45,0.6206896551724138,0.05,,
CCRNE,0.475,0.6440677966101694,0.06,200.0,
MCLS,0.505,0.6710963455149501,0.06,200.0,
LP_PUL,0.495,0.6622073578595318,0.06,200.0,
PU_LP,0.475,0.6440677966101694,0.06,80.0,
RCSVM,0.3474903474903475,0.5157593123209169,0.06,518.0,
RANDOM,0.475,0.6440677966101694,0.06,,
RGCN_GAE,0.53,0.6928104575163399,0.06,,2.0
RGCN_GAE,0.52,0.6842105263157895,0.06,,3.0
RGCN_GAE,0.52,0.6842105263157895,0.06,,4.0
RGCN_GAE,0.545,0.7055016181229773,0.06,,5.0
RLP_PUL,0.545,0.7055016181229773,0.06,,
GCN_GAE,0.51,0.6754966887417219,0.06,,
CCRNE,0.48,0.6486486486486487,0.07,200.0,
MCLS,0.49,0.6577181208053692,0.07,200.0,
LP_PUL,0.495,0.6622073578595318,0.07,200.0,
PU_LP,0.4787234042553192,0.6474820143884892,0.07,94.0,
RCSVM,0.35075885328836426,0.519350811485643,0.07,593.0,
RANDOM,0.485,0.6531986531986532,0.07,,
RGCN_GAE,0.54,0.7012987012987013,0.07,,2.0
RGCN_GAE,0.505,0.6710963455149501,0.07,,3.0
RGCN_GAE,0.565,0.7220447284345048,0.07,,4.0
RGCN_GAE,0.505,0.6710963455149501,0.07,,5.0
RLP_PUL,0.46,0.6301369863013698,0.07,,
GCN_GAE,0.445,0.615916955017301,0.07,,
CCRNE,0.5,0.6666666666666666,0.08,200.0,
MCLS,0.485,0.6531986531986532,0.08,200.0,
LP_PUL,0.485,0.6531986531986532,0.08,200.0,
PU_LP,0.514018691588785,0.6790123456790124,0.08,107.0,
RCSVM,0.4775435380384968,0.6464019851116626,0.08,1091.0,
RANDOM,0.49,0.6577181208053692,0.08,,
RGCN_GAE,0.515,0.6798679867986799,0.08,,2.0
RGCN_GAE,0.54,0.7012987012987013,0.08,,3.0
RGCN_GAE,0.54,0.7012987012987013,0.08,,4.0
RGCN_GAE,0.54,0.7012987012987013,0.08,,5.0
RLP_PUL,0.52,0.6842105263157895,0.08,,
GCN_GAE,0.48,0.6486486486486487,0.08,,
CCRNE,0.485,0.6531986531986532,0.09,200.0,
MCLS,0.515,0.6798679867986799,0.09,200.0,
LP_PUL,0.525,0.6885245901639344,0.09,200.0,
PU_LP,0.49166666666666664,0.659217877094972,0.09,120.0,
RCSVM,0.3651925820256776,0.5350052246603971,0.09,701.0,
RANDOM,0.46,0.6301369863013698,0.09,,
RGCN_GAE,0.53,0.6928104575163399,0.09,,2.0
RGCN_GAE,0.55,0.7096774193548387,0.09,,3.0
RGCN_GAE,0.545,0.7055016181229773,0.09,,4.0
RGCN_GAE,0.535,0.6970684039087948,0.09,,5.0
RLP_PUL,0.465,0.6348122866894198,0.09,,
GCN_GAE,0.475,0.6440677966101694,0.09,,
CCRNE,0.505,0.6710963455149501,0.1,200.0,
MCLS,0.515,0.6798679867986799,0.1,200.0,
LP_PUL,0.51,0.6754966887417219,0.1,200.0,
PU_LP,0.4740740740740741,0.6432160804020101,0.1,135.0,
RCSVM,0.42572062084257206,0.5972006220839814,0.1,451.0,
RANDOM,0.505,0.6710963455149501,0.1,,
RGCN_GAE,0.545,0.7055016181229773,0.1,,2.0
RGCN_GAE,0.575,0.7301587301587301,0.1,,3.0
RGCN_GAE,0.54,0.7012987012987013,0.1,,4.0
RGCN_GAE,0.545,0.7055016181229773,0.1,,5.0
RLP_PUL,0.53,0.6928104575163399,0.1,,
GCN_GAE,0.48,0.6486486486486487,0.1,,
CCRNE,0.505,0.6710963455149501,0.11,200.0,
MCLS,0.525,0.6885245901639344,0.11,200.0,
LP_PUL,0.48,0.6486486486486487,0.11,200.0,
PU_LP,0.5405405405405406,0.7017543859649122,0.11,148.0,
RCSVM,0.4186046511627907,0.5901639344262295,0.11,430.0,
RANDOM,0.52,0.6842105263157895,0.11,,
RGCN_GAE,0.57,0.7261146496815286,0.11,,2.0
RGCN_GAE,0.565,0.7220447284345048,0.11,,3.0
RGCN_GAE,0.635,0.7767584097859327,0.11,,4.0
RGCN_GAE,0.595,0.7460815047021944,0.11,,5.0
RLP_PUL,0.535,0.6970684039087948,0.11,,
GCN_GAE,0.48,0.6486486486486487,0.11,,
CCRNE,0.51,0.6754966887417219,0.12,200.0,
MCLS,0.485,0.6531986531986532,0.12,200.0,
LP_PUL,0.52,0.6842105263157895,0.12,200.0,
PU_LP,0.4876543209876543,0.6556016597510373,0.12,162.0,
RCSVM,0.36895674300254455,0.5390334572490706,0.12,393.0,
RANDOM,0.485,0.6531986531986532,0.12,,
RGCN_GAE,0.55,0.7096774193548387,0.12,,2.0
RGCN_GAE,0.555,0.7138263665594855,0.12,,3.0
RGCN_GAE,0.575,0.7301587301587301,0.12,,4.0
RGCN_GAE,0.54,0.7012987012987013,0.12,,5.0
RLP_PUL,0.485,0.6531986531986532,0.12,,
GCN_GAE,0.46,0.6301369863013698,0.12,,
CCRNE,0.47,0.6394557823129252,0.13,200.0,
MCLS,0.5,0.6666666666666666,0.13,200.0,
LP_PUL,0.55,0.7096774193548387,0.13,200.0,
PU_LP,0.5085714285714286,0.6742424242424242,0.13,175.0,
RCSVM,0.4348404255319149,0.6061167747914736,0.13,752.0,
RANDOM,0.48,0.6486486486486487,0.13,,
RGCN_GAE,0.565,0.7220447284345048,0.13,,2.0
RGCN_GAE,0.59,0.7421383647798742,0.13,,3.0
RGCN_GAE,0.495,0.6622073578595318,0.13,,4.0
RGCN_GAE,0.545,0.7055016181229773,0.13,,5.0
RLP_PUL,0.525,0.6885245901639344,0.13,,
GCN_GAE,0.505,0.6710963455149501,0.13,,
CCRNE,0.495,0.6622073578595318,0.14,200.0,
MCLS,0.515,0.6798679867986799,0.14,200.0,
LP_PUL,0.51,0.6754966887417219,0.14,200.0,
PU_LP,0.48677248677248675,0.6548042704626335,0.14,189.0,
RCSVM,0.38,0.5507246376811594,0.14,450.0,
RANDOM,0.515,0.6798679867986799,0.14,,
RGCN_GAE,0.58,0.7341772151898734,0.14,,2.0
RGCN_GAE,0.58,0.7341772151898734,0.14,,3.0
RGCN_GAE,0.565,0.7220447284345048,0.14,,4.0
RGCN_GAE,0.575,0.7301587301587301,0.14,,5.0
RLP_PUL,0.53,0.6928104575163399,0.14,,
GCN_GAE,0.495,0.6622073578595318,0.14,,
CCRNE,0.45,0.6206896551724138,0.15,200.0,
MCLS,0.555,0.7138263665594855,0.15,200.0,
LP_PUL,0.525,0.6885245901639344,0.15,200.0,
PU_LP,0.5,0.6666666666666666,0.15,202.0,
RCSVM,0.38613861386138615,0.5571428571428572,0.15,404.0,
RANDOM,0.475,0.6440677966101694,0.15,,
RGCN_GAE,0.52,0.6842105263157895,0.15,,2.0
RGCN_GAE,0.56,0.717948717948718,0.15,,3.0
RGCN_GAE,0.55,0.7096774193548387,0.15,,4.0
RGCN_GAE,0.495,0.6622073578595318,0.15,,5.0
RLP_PUL,0.59,0.7421383647798742,0.15,,
GCN_GAE,0.495,0.6622073578595318,0.15,,
CCRNE,0.52,0.6842105263157895,0.16,200.0,
MCLS,0.545,0.7055016181229773,0.16,200.0,
