model,acc,f1,P,neg,L
CCRNE,0.59,0.7421383647798742,0.01,200.0,
MCLS,0.98,0.98989898989899,0.01,200.0,
LP_PUL,0.565,0.7220447284345048,0.01,200.0,
PU_LP,0.5217391304347826,0.6857142857142857,0.01,46.0,
RCSVM,0.3426405325443787,0.5103980168020934,0.01,5408.0,
RANDOM,0.545,0.7055016181229773,0.01,,
RGCN_GAE,0.83,0.907103825136612,0.01,,2.0
RGCN_GAE,0.87,0.93048128342246,0.01,,3.0
RGCN_GAE,0.83,0.907103825136612,0.01,,4.0
RGCN_GAE,0.85,0.918918918918919,0.01,,5.0
RLP_PUL,0.59,0.7421383647798742,0.01,,
GCN_GAE,0.65,0.7878787878787878,0.01,,
CCRNE,0.475,0.6440677966101694,0.02,200.0,
MCLS,0.98,0.98989898989899,0.02,200.0,
LP_PUL,0.62,0.7654320987654321,0.02,200.0,
PU_LP,0.5268817204301075,0.6901408450704225,0.02,93.0,
RCSVM,0.4272491068528743,0.5987029241096825,0.02,6158.0,
RANDOM,0.46,0.6301369863013698,0.02,,
RGCN_GAE,0.91,0.9528795811518325,0.02,,2.0
RGCN_GAE,0.9,0.9473684210526315,0.02,,3.0
RGCN_GAE,0.88,0.9361702127659575,0.02,,4.0
RGCN_GAE,0.92,0.9583333333333334,0.02,,5.0
RLP_PUL,0.645,0.78419452887538,0.02,,
GCN_GAE,0.56,0.717948717948718,0.02,,
CCRNE,0.52,0.6842105263157895,0.03,200.0,
MCLS,0.965,0.9821882951653944,0.03,200.0,
LP_PUL,0.61,0.7577639751552795,0.03,200.0,
PU_LP,0.5214285714285715,0.6854460093896714,0.03,140.0,
RCSVM,0.4478178368121442,0.6186107470511141,0.03,6324.0,
RANDOM,0.525,0.6885245901639344,0.03,,
RGCN_GAE,0.9,0.9473684210526315,0.03,,2.0
RGCN_GAE,0.86,0.9247311827956989,0.03,,3.0
RGCN_GAE,0.86,0.9247311827956989,0.03,,4.0
RGCN_GAE,0.84,0.9130434782608695,0.03,,5.0
RLP_PUL,0.6,0.75,0.03,,
GCN_GAE,0.58,0.7341772151898734,0.03,,
CCRNE,0.655,0.7915407854984894,0.04,200.0,
MCLS,0.98,0.98989898989899,0.04,200.0,
LP_PUL,0.625,0.7692307692307693,0.04,200.0,
PU_LP,0.5561497326203209,0.7147766323024055,0.04,187.0,
RCSVM,0.44668587896253603,0.6175298804780877,0.04,6246.0,
RANDOM,0.49,0.6577181208053692,0.04,,
RGCN_GAE,0.88,0.9361702127659575,0.04,,2.0
RGCN_GAE,0.845,0.9159891598915989,0.04,,3.0
RGCN_GAE,0.825,0.9041095890410958,0.04,,4.0
RGCN_GAE,0.825,0.9041095890410958,0.04,,5.0
RLP_PUL,0.64,0.7804878048780488,0.04,,
GCN_GAE,0.635,0.7767584097859327,0.04,,
CCRNE,0.5,0.6666666666666666,0.05,200.0,
MCLS,0.98,0.98989898989899,0.05,200.0,
LP_PUL,0.645,0.78419452887538,0.05,200.0,
PU_LP,0.5299145299145299,0.6927374301675978,0.05,234.0,
RCSVM,0.45323741007194246,0.6237623762376238,0.05,6255.0,
RANDOM,0.51,0.6754966887417219,0.05,,
RGCN_GAE,0.92,0.9583333333333334,0.05,,2.0
RGCN_GAE,0.9,0.9473684210526315,0.05,,3.0
RGCN_GAE,0.835,0.9100817438692098,0.05,,4.0
RGCN_GAE,0.855,0.921832884097035,0.05,,5.0
RLP_PUL,0.68,0.8095238095238095,0.05,,
GCN_GAE,0.595,0.7460815047021944,0.05,,
CCRNE,0.49,0.6577181208053692,0.06,200.0,
MCLS,0.965,0.9821882951653944,0.06,200.0,
LP_PUL,0.64,0.7804878048780488,0.06,200.0,
PU_LP,0.5178571428571429,0.6823529411764706,0.06,280.0,
RCSVM,0.4376662234042553,0.6088565152040698,0.06,6016.0,
RANDOM,0.56,0.717948717948718,0.06,,
RGCN_GAE,0.93,0.9637305699481865,0.06,,2.0
RGCN_GAE,0.88,0.9361702127659575,0.06,,3.0
RGCN_GAE,0.87,0.93048128342246,0.06,,4.0
RGCN_GAE,0.825,0.9041095890410958,0.06,,5.0
RLP_PUL,0.645,0.78419452887538,0.06,,
GCN_GAE,0.575,0.7301587301587301,0.06,,
CCRNE,0.535,0.6970684039087948,0.07,200.0,
MCLS,0.98,0.98989898989899,0.07,200.0,
