model,acc,f1,P,neg,L
CCRNE,0.745,0.8538681948424068,0.01,200.0,
MCLS,0.775,0.8732394366197183,0.01,200.0,
LP_PUL,0.815,0.8980716253443526,0.01,200.0,
PU_LP,0.9090909090909091,0.9523809523809523,0.01,22.0,
RCSVM,0.5893611032929919,0.741632725340889,0.01,3553.0,
RANDOM,0.765,0.8668555240793201,0.01,,
RGCN_GAE,0.87,0.93048128342246,0.01,,2.0
RGCN_GAE,0.86,0.9247311827956989,0.01,,3.0
RGCN_GAE,0.84,0.9130434782608695,0.01,,4.0
RGCN_GAE,0.845,0.9159891598915989,0.01,,5.0
RLP_PUL,0.8,0.8888888888888888,0.01,,
GCN_GAE,0.79,0.88268156424581,0.01,,
CCRNE,0.795,0.8857938718662952,0.02,200.0,
MCLS,0.765,0.8668555240793201,0.02,200.0,
LP_PUL,0.775,0.8732394366197183,0.02,200.0,
PU_LP,0.7272727272727273,0.8421052631578947,0.02,44.0,
RCSVM,0.6195759368836292,0.7651088445729943,0.02,4056.0,
RANDOM,0.735,0.8472622478386167,0.02,,
RGCN_GAE,0.93,0.9637305699481865,0.02,,2.0
RGCN_GAE,0.89,0.9417989417989417,0.02,,3.0
RGCN_GAE,0.865,0.9276139410187667,0.02,,4.0
RGCN_GAE,0.875,0.9333333333333333,0.02,,5.0
RLP_PUL,0.85,0.918918918918919,0.02,,
GCN_GAE,0.805,0.8919667590027701,0.02,,
CCRNE,0.745,0.8538681948424068,0.03,200.0,
MCLS,0.76,0.8636363636363636,0.03,200.0,
LP_PUL,0.825,0.9041095890410958,0.03,200.0,
PU_LP,0.7424242424242424,0.8521739130434782,0.03,66.0,
RCSVM,0.6195266272189349,0.7650712458896602,0.03,3380.0,
RANDOM,0.745,0.8538681948424068,0.03,,
RGCN_GAE,0.935,0.9664082687338501,0.03,,2.0
RGCN_GAE,0.875,0.9333333333333333,0.03,,3.0
RGCN_GAE,0.9,0.9473684210526315,0.03,,4.0
RGCN_GAE,0.88,0.9361702127659575,0.03,,5.0
RLP_PUL,0.81,0.8950276243093923,0.03,,
GCN_GAE,0.825,0.9041095890410958,0.03,,
CCRNE,0.775,0.8732394366197183,0.04,200.0,
MCLS,0.775,0.8732394366197183,0.04,200.0,
LP_PUL,0.795,0.8857938718662952,0.04,200.0,
PU_LP,0.75,0.8571428571428571,0.04,88.0,
RCSVM,0.5818991097922849,0.7356968673794785,0.04,3370.0,
RANDOM,0.77,0.8700564971751412,0.04,,
RGCN_GAE,0.93,0.9637305699481865,0.04,,2.0
RGCN_GAE,0.885,0.9389920424403183,0.04,,3.0
RGCN_GAE,0.925,0.961038961038961,0.04,,4.0
RGCN_GAE,0.84,0.9130434782608695,0.04,,5.0
RLP_PUL,0.85,0.918918918918919,0.04,,
GCN_GAE,0.79,0.88268156424581,0.04,,
CCRNE,0.84,0.9130434782608695,0.05,200.0,
MCLS,0.865,0.9276139410187667,0.05,200.0,
LP_PUL,0.825,0.9041095890410958,0.05,200.0,
PU_LP,0.7818181818181819,0.8775510204081632,0.05,110.0,
RCSVM,0.581813444502345,0.7356283972986328,0.05,3838.0,
RANDOM,0.74,0.8505747126436781,0.05,,
RGCN_GAE,0.925,0.961038961038961,0.05,,2.0
RGCN_GAE,0.9,0.9473684210526315,0.05,,3.0
RGCN_GAE,0.92,0.9583333333333334,0.05,,4.0
RGCN_GAE,0.885,0.9389920424403183,0.05,,5.0
RLP_PUL,0.87,0.93048128342246,0.05,,
GCN_GAE,0.755,0.8603988603988604,0.05,,
CCRNE,0.855,0.921832884097035,0.06,200.0,
MCLS,0.905,0.9501312335958005,0.06,200.0,
LP_PUL,0.825,0.9041095890410958,0.06,200.0,
PU_LP,0.803030303030303,0.8907563025210085,0.06,132.0,
RCSVM,0.5859598853868195,0.7389340560072267,0.06,3490.0,
RANDOM,0.745,0.8538681948424068,0.06,,
RGCN_GAE,0.935,0.9664082687338501,0.06,,2.0
RGCN_GAE,0.91,0.9528795811518325,0.06,,3.0
RGCN_GAE,0.885,0.9389920424403183,0.06,,4.0
RGCN_GAE,0.885,0.9389920424403183,0.06,,5.0
RLP_PUL,0.865,0.9276139410187667,0.06,,
GCN_GAE,0.765,0.8668555240793201,0.06,,
CCRNE,0.8,0.8888888888888888,0.07,200.0,
MCLS,0.86,0.9247311827956989,0.07,200.0,
LP_PUL,0.85,0.918918918918919,0.07,200.0,
PU_LP,0.7532467532467533,0.8592592592592593,0.07,154.0,
RCSVM,0.5611228493812255,0.7188708430007734,0.07,3313.0,
RANDOM,0.765,0.8668555240793201,0.07,,
RGCN_GAE,0.94,0.9690721649484536,0.07,,2.0
RGCN_GAE,0.9,0.9473684210526315,0.07,,3.0
RGCN_GAE,0.88,0.9361702127659575,0.07,,4.0
RGCN_GAE,0.88,0.9361702127659575,0.07,,5.0
RLP_PUL,0.84,0.9130434782608695,0.07,,
GCN_GAE,0.795,0.8857938718662952,0.07,,
CCRNE,0.805,0.8919667590027701,0.08,200.0,
MCLS,0.88,0.9361702127659575,0.08,200.0,
LP_PUL,0.83,0.907103825136612,0.08,200.0,
PU_LP,0.8011363636363636,0.889589905362776,0.08,176.0,
RCSVM,0.5508474576271186,0.7103825136612022,0.08,3304.0,
RANDOM,0.72,0.8372093023255814,0.08,,
RGCN_GAE,0.925,0.961038961038961,0.08,,2.0
RGCN_GAE,0.91,0.9528795811518325,0.08,,3.0
RGCN_GAE,0.94,0.9690721649484536,0.08,,4.0
RGCN_GAE,0.83,0.907103825136612,0.08,,5.0
RLP_PUL,0.835,0.9100817438692098,0.08,,
GCN_GAE,0.805,0.8919667590027701,0.08,,
CCRNE,0.805,0.8919667590027701,0.09,200.0,
MCLS,0.855,0.921832884097035,0.09,200.0,
LP_PUL,0.84,0.9130434782608695,0.09,200.0,
PU_LP,0.7676767676767676,0.8685714285714285,0.09,198.0,
RCSVM,0.5987370838117106,0.7490125673249551,0.09,3484.0,
RANDOM,0.755,0.8603988603988604,0.09,,
RGCN_GAE,0.935,0.9664082687338501,0.09,,2.0
RGCN_GAE,0.91,0.9528795811518325,0.09,,3.0
RGCN_GAE,0.845,0.9159891598915989,0.09,,4.0
RGCN_GAE,0.825,0.9041095890410958,0.09,,5.0
RLP_PUL,0.865,0.9276139410187667,0.09,,
GCN_GAE,0.77,0.8700564971751412,0.09,,
CCRNE,0.78,0.8764044943820225,0.1,200.0,
MCLS,0.845,0.9159891598915989,0.1,200.0,
LP_PUL,0.815,0.8980716253443526,0.1,200.0,
PU_LP,0.7737556561085973,0.8724489795918368,0.1,221.0,
RCSVM,0.6270971021860702,0.7708170598344009,0.1,3934.0,
RANDOM,0.77,0.8700564971751412,0.1,,
RGCN_GAE,0.945,0.9717223650385605,0.1,,2.0
RGCN_GAE,0.9,0.9473684210526315,0.1,,3.0
RGCN_GAE,0.89,0.9417989417989417,0.1,,4.0
RGCN_GAE,0.875,0.9333333333333333,0.1,,5.0
RLP_PUL,0.89,0.9417989417989417,0.1,,
GCN_GAE,0.83,0.907103825136612,0.1,,
CCRNE,0.81,0.8950276243093923,0.11,200.0,
MCLS,0.785,0.8795518207282913,0.11,200.0,
LP_PUL,0.85,0.918918918918919,0.11,200.0,
PU_LP,0.7695473251028807,0.8697674418604651,0.11,243.0,
RCSVM,0.5899425287356321,0.7420928971624796,0.11,3480.0,
RANDOM,0.745,0.8538681948424068,0.11,,
RGCN_GAE,0.94,0.9690721649484536,0.11,,2.0
RGCN_GAE,0.92,0.9583333333333334,0.11,,3.0
RGCN_GAE,0.875,0.9333333333333333,0.11,,4.0
RGCN_GAE,0.91,0.9528795811518325,0.11,,5.0
RLP_PUL,0.885,0.9389920424403183,0.11,,
GCN_GAE,0.84,0.9130434782608695,0.11,,
CCRNE,0.8,0.8888888888888888,0.12,200.0,
MCLS,0.845,0.9159891598915989,0.12,200.0,
LP_PUL,0.81,0.8950276243093923,0.12,200.0,
PU_LP,0.769811320754717,0.8699360341151386,0.12,265.0,
RCSVM,0.5598145285935086,0.7177962742766548,0.12,3235.0,
RANDOM,0.74,0.8505747126436781,0.12,,
RGCN_GAE,0.975,0.9873417721518988,0.12,,2.0
RGCN_GAE,0.91,0.9528795811518325,0.12,,3.0
RGCN_GAE,0.86,0.9247311827956989,0.12,,4.0
RGCN_GAE,0.86,0.9247311827956989,0.12,,5.0
RLP_PUL,0.865,0.9276139410187667,0.12,,
GCN_GAE,0.81,0.8950276243093923,0.12,,
CCRNE,0.84,0.9130434782608695,0.13,200.0,
MCLS,0.84,0.9130434782608695,0.13,200.0,
LP_PUL,0.87,0.93048128342246,0.13,200.0,
PU_LP,0.8013937282229965,0.8897485493230174,0.13,287.0,
RCSVM,0.587517730496454,0.7401715511079342,0.13,3525.0,
RANDOM,0.755,0.8603988603988604,0.13,,
RGCN_GAE,0.96,0.9795918367346939,0.13,,2.0
RGCN_GAE,0.875,0.9333333333333333,0.13,,3.0
RGCN_GAE,0.865,0.9276139410187667,0.13,,4.0
RGCN_GAE,0.865,0.9276139410187667,0.13,,5.0
RLP_PUL,0.89,0.9417989417989417,0.13,,
GCN_GAE,0.78,0.8764044943820225,0.13,,
CCRNE,0.835,0.9100817438692098,0.14,200.0,
MCLS,0.78,0.8764044943820225,0.14,200.0,
LP_PUL,0.84,0.9130434782608695,0.14,200.0,
PU_LP,0.7961165048543689,0.8864864864864865,0.14,309.0,
RCSVM,0.5642059553349876,0.7213959944477494,0.14,3224.0,
RANDOM,0.745,0.8538681948424068,0.14,,
RGCN_GAE,0.95,0.9743589743589743,0.14,,2.0
RGCN_GAE,0.84,0.9130434782608695,0.14,,3.0
RGCN_GAE,0.875,0.9333333333333333,0.14,,4.0
RGCN_GAE,0.86,0.9247311827956989,0.14,,5.0
RLP_PUL,0.88,0.9361702127659575,0.14,,
GCN_GAE,0.8,0.8888888888888888,0.14,,
CCRNE,0.835,0.9100817438692098,0.15,200.0,
MCLS,0.835,0.9100817438692098,0.15,200.0,
LP_PUL,0.83,0.907103825136612,0.15,200.0,
PU_LP,0.8006042296072508,0.889261744966443,0.15,331.0,
RCSVM,0.5847126090881734,0.7379415115837448,0.15,3323.0,
RANDOM,0.715,0.8338192419825073,0.15,,
RGCN_GAE,0.94,0.9690721649484536,0.15,,2.0
RGCN_GAE,0.885,0.9389920424403183,0.15,,3.0
RGCN_GAE,0.875,0.9333333333333333,0.15,,4.0
RGCN_GAE,0.87,0.93048128342246,0.15,,5.0
RLP_PUL,0.835,0.9100817438692098,0.15,,
GCN_GAE,0.825,0.9041095890410958,0.15,,
CCRNE,0.825,0.9041095890410958,0.16,200.0,
MCLS,0.83,0.907103825136612,0.16,200.0,
LP_PUL,0.83,0.907103825136612,0.16,200.0,
PU_LP,0.8016997167138811,0.889937106918239,0.16,353.0,
RCSVM,0.6055304740406321,0.7543057996485062,0.16,3544.0,
RANDOM,0.77,0.8700564971751412,0.16,,
RGCN_GAE,0.945,0.9717223650385605,0.16,,2.0
RGCN_GAE,0.83,0.907103825136612,0.16,,3.0
RGCN_GAE,0.865,0.9276139410187667,0.16,,4.0
RGCN_GAE,0.835,0.9100817438692098,0.16,,5.0
RLP_PUL,0.88,0.9361702127659575,0.16,,
GCN_GAE,0.835,0.9100817438692098,0.16,,
CCRNE,0.815,0.8980716253443526,0.17,200.0,
MCLS,0.795,0.8857938718662952,0.17,200.0,
LP_PUL,0.845,0.9159891598915989,0.17,200.0,
PU_LP,0.7893333333333333,0.8822652757078987,0.17,375.0,
RCSVM,0.5982958003651856,0.7486671744097486,0.17,3286.0,
RANDOM,0.77,0.8700564971751412,0.17,,
RGCN_GAE,0.925,0.961038961038961,0.17,,2.0
RGCN_GAE,0.905,0.9501312335958005,0.17,,3.0
RGCN_GAE,0.865,0.9276139410187667,0.17,,4.0
RGCN_GAE,0.83,0.907103825136612,0.17,,5.0
RLP_PUL,0.905,0.9501312335958005,0.17,,
GCN_GAE,0.825,0.9041095890410958,0.17,,
CCRNE,0.78,0.8764044943820225,0.18,200.0,
MCLS,0.865,0.9276139410187667,0.18,200.0,
LP_PUL,0.845,0.9159891598915989,0.18,200.0,
PU_LP,0.7934508816120907,0.8848314606741573,0.18,397.0,
RCSVM,0.6028348278854498,0.7522107922757625,0.18,3457.0,
RANDOM,0.775,0.8732394366197183,0.18,,
RGCN_GAE,0.96,0.9795918367346939,0.18,,2.0
RGCN_GAE,0.905,0.9501312335958005,0.18,,3.0
RGCN_GAE,0.85,0.918918918918919,0.18,,4.0
RGCN_GAE,0.855,0.921832884097035,0.18,,5.0
RLP_PUL,0.89,0.9417989417989417,0.18,,
GCN_GAE,0.805,0.8919667590027701,0.18,,
CCRNE,0.825,0.9041095890410958,0.19,200.0,
MCLS,0.895,0.9445910290237467,0.19,200.0,
LP_PUL,0.83,0.907103825136612,0.19,200.0,
PU_LP,0.8090692124105012,0.8944591029023746,0.19,419.0,
RCSVM,0.6064842355740631,0.7550453619700056,0.19,3362.0,
RANDOM,0.75,0.8571428571428571,0.19,,
RGCN_GAE,0.94,0.9690721649484536,0.19,,2.0
RGCN_GAE,0.865,0.9276139410187667,0.19,,3.0
RGCN_GAE,0.815,0.8980716253443526,0.19,,4.0
RGCN_GAE,0.82,0.9010989010989011,0.19,,5.0
RLP_PUL,0.885,0.9389920424403183,0.19,,
GCN_GAE,0.825,0.9041095890410958,0.19,,
CCRNE,0.825,0.9041095890410958,0.2,200.0,
MCLS,0.885,0.9389920424403183,0.2,200.0,
