model,acc,f1,P,neg,L
CCRNE,0.795,0.8857938718662952,0.01,200.0,
MCLS,0.845,0.9159891598915989,0.01,200.0,
LP_PUL,0.815,0.8980716253443526,0.01,200.0,
PU_LP,0.6666666666666666,0.8,0.01,9.0,
RCSVM,,0.0,0.01,0.0,
RANDOM,0.815,0.8980716253443526,0.01,,
RGCN_GAE,0.985,0.9924433249370277,0.01,,2.0
RGCN_GAE,0.98,0.98989898989899,0.01,,3.0
RGCN_GAE,0.98,0.98989898989899,0.01,,4.0
RGCN_GAE,0.96,0.9795918367346939,0.01,,5.0
RLP_PUL,0.815,0.8980716253443526,0.01,,
GCN_GAE,0.735,0.8472622478386167,0.01,,
CCRNE,0.795,0.8857938718662952,0.02,200.0,
MCLS,0.88,0.9361702127659575,0.02,200.0,
LP_PUL,0.805,0.8919667590027701,0.02,200.0,
PU_LP,0.7222222222222222,0.8387096774193549,0.02,18.0,
RCSVM,,0.0,0.02,0.0,
RANDOM,0.81,0.8950276243093923,0.02,,
RGCN_GAE,0.98,0.98989898989899,0.02,,2.0
RGCN_GAE,0.97,0.9847715736040609,0.02,,3.0
RGCN_GAE,0.98,0.98989898989899,0.02,,4.0
RGCN_GAE,0.98,0.98989898989899,0.02,,5.0
RLP_PUL,0.81,0.8950276243093923,0.02,,
GCN_GAE,0.88,0.9361702127659575,0.02,,
CCRNE,0.775,0.8732394366197183,0.03,200.0,
MCLS,0.905,0.9501312335958005,0.03,200.0,
LP_PUL,0.825,0.9041095890410958,0.03,200.0,
PU_LP,0.8148148148148148,0.8979591836734694,0.03,27.0,
RCSVM,,0.0,0.03,0.0,
RANDOM,0.84,0.9130434782608695,0.03,,
RGCN_GAE,0.985,0.9924433249370277,0.03,,2.0
RGCN_GAE,0.975,0.9873417721518988,0.03,,3.0
RGCN_GAE,0.965,0.9821882951653944,0.03,,4.0
RGCN_GAE,0.97,0.9847715736040609,0.03,,5.0
RLP_PUL,0.825,0.9041095890410958,0.03,,
GCN_GAE,0.855,0.921832884097035,0.03,,
CCRNE,0.835,0.9100817438692098,0.04,200.0,
MCLS,0.885,0.9389920424403183,0.04,200.0,
LP_PUL,0.83,0.907103825136612,0.04,200.0,
PU_LP,0.8333333333333334,0.9090909090909091,0.04,36.0,
RCSVM,,0.0,0.04,0.0,
RANDOM,0.76,0.8636363636363636,0.04,,
RGCN_GAE,0.945,0.9717223650385605,0.04,,2.0
RGCN_GAE,0.975,0.9873417721518988,0.04,,3.0
RGCN_GAE,0.975,0.9873417721518988,0.04,,4.0
RGCN_GAE,0.965,0.9821882951653944,0.04,,5.0
