model,acc,f1,P,neg,L
CCRNE,0.73,0.8439306358381503,0.01,200.0,
MCLS,0.705,0.8269794721407625,0.01,200.0,
LP_PUL,0.77,0.8700564971751412,0.01,200.0,
PU_LP,0.8,0.8888888888888888,0.01,10.0,
RCSVM,0.7,0.8235294117647058,0.01,2700.0,
RANDOM,0.74,0.8505747126436781,0.01,,
RGCN_GAE,0.97,0.9847715736040609,0.01,,2.0
RGCN_GAE,0.94,0.9690721649484536,0.01,,3.0
RGCN_GAE,0.925,0.961038961038961,0.01,,4.0
RGCN_GAE,0.94,0.9690721649484536,0.01,,5.0
RLP_PUL,0.745,0.8538681948424068,0.01,,
GCN_GAE,0.86,0.9247311827956989,0.01,,
CCRNE,0.715,0.8338192419825073,0.02,200.0,
MCLS,0.7741935483870968,0.8727272727272727,0.02,124.0,
LP_PUL,0.78,0.8764044943820225,0.02,200.0,
PU_LP,0.9,0.9473684210526315,0.02,20.0,
RCSVM,0.7019695280564846,0.8248908296943231,0.02,2691.0,
RANDOM,0.68,0.8095238095238095,0.02,,
RGCN_GAE,0.975,0.9873417721518988,0.02,,2.0
RGCN_GAE,0.97,0.9847715736040609,0.02,,3.0
RGCN_GAE,0.96,0.9795918367346939,0.02,,4.0
RGCN_GAE,0.96,0.9795918367346939,0.02,,5.0
RLP_PUL,0.84,0.9130434782608695,0.02,,
GCN_GAE,0.955,0.9769820971867008,0.02,,
CCRNE,0.715,0.8338192419825073,0.03,200.0,
MCLS,0.94,0.9690721649484536,0.03,200.0,
LP_PUL,0.83,0.907103825136612,0.03,200.0,
PU_LP,0.8387096774193549,0.9122807017543859,0.03,31.0,
RCSVM,0.7035100821508589,0.8259535291538799,0.03,2678.0,
RANDOM,0.72,0.8372093023255814,0.03,,
RGCN_GAE,0.965,0.9821882951653944,0.03,,2.0
RGCN_GAE,0.955,0.9769820971867008,0.03,,3.0
RGCN_GAE,0.965,0.9821882951653944,0.03,,4.0
RGCN_GAE,0.93,0.9637305699481865,0.03,,5.0
RLP_PUL,0.895,0.9445910290237467,0.03,,
GCN_GAE,0.895,0.9445910290237467,0.03,,
CCRNE,0.745,0.8538681948424068,0.04,200.0,
MCLS,0.805,0.8919667590027701,0.04,200.0,
LP_PUL,0.84,0.9130434782608695,0.04,200.0,
PU_LP,0.7804878048780488,0.8767123287671232,0.04,41.0,
RCSVM,0.7047762316660399,0.8268255018751379,0.04,2659.0,
RANDOM,0.65,0.7878787878787878,0.04,,
RGCN_GAE,0.995,0.9974937343358395,0.04,,2.0
RGCN_GAE,0.965,0.9821882951653944,0.04,,3.0
RGCN_GAE,0.925,0.961038961038961,0.04,,4.0
RGCN_GAE,0.96,0.9795918367346939,0.04,,5.0
RLP_PUL,0.915,0.9556135770234987,0.04,,
GCN_GAE,0.92,0.9583333333333334,0.04,,
CCRNE,0.68,0.8095238095238095,0.05,200.0,
MCLS,0.68,0.8095238095238095,0.05,200.0,
LP_PUL,0.825,0.9041095890410958,0.05,200.0,
PU_LP,0.8269230769230769,0.9052631578947369,0.05,52.0,
RCSVM,0.6798283261802575,0.8094021461420542,0.05,2330.0,
RANDOM,0.73,0.8439306358381503,0.05,,
RGCN_GAE,0.98,0.98989898989899,0.05,,2.0
RGCN_GAE,0.975,0.9873417721518988,0.05,,3.0
RGCN_GAE,0.905,0.9501312335958005,0.05,,4.0
RGCN_GAE,0.945,0.9717223650385605,0.05,,5.0
RLP_PUL,0.91,0.9528795811518325,0.05,,
GCN_GAE,0.965,0.9821882951653944,0.05,,
CCRNE,0.73,0.8439306358381503,0.06,200.0,
MCLS,0.81,0.8950276243093923,0.06,200.0,
LP_PUL,0.83,0.907103825136612,0.06,200.0,
PU_LP,0.746031746031746,0.8545454545454545,0.06,63.0,
RCSVM,0.7090770983668819,0.8297777777777777,0.06,2633.0,
RANDOM,0.69,0.8165680473372781,0.06,,
RGCN_GAE,0.99,0.9949748743718593,0.06,,2.0
RGCN_GAE,0.96,0.9795918367346939,0.06,,3.0
RGCN_GAE,0.955,0.9769820971867008,0.06,,4.0
RGCN_GAE,0.92,0.9583333333333334,0.06,,5.0
RLP_PUL,0.905,0.9501312335958005,0.06,,
GCN_GAE,0.945,0.9717223650385605,0.06,,
CCRNE,0.77,0.8700564971751412,0.07,200.0,
MCLS,0.89,0.9417989417989417,0.07,200.0,
