L,P,acc,f1,acc_per_epoch,f1_per_epoch,losses,model
2,0.01,0.195,0.3263598326359833,"[0.465, 0.44, 0.41, 0.365, 0.34, 0.3, 0.28, 0.27, 0.265, 0.265, 0.26, 0.245, 0.22, 0.205, 0.2, 0.195, 0.185, 0.195, 0.195, 0.195]","[0.6348122866894198, 0.6111111111111112, 0.5815602836879432, 0.5347985347985348, 0.5074626865671642, 0.46153846153846156, 0.4375, 0.4251968503937008, 0.4189723320158103, 0.4189723320158103, 0.4126984126984127, 0.39357429718875503, 0.36065573770491804, 0.34024896265560167, 0.3333333333333333, 0.3263598326359833, 0.31223628691983124, 0.3263598326359833, 0.3263598326359833, 0.3263598326359833]","[0.6924476623535156, 0.6913875341415405, 0.6904323101043701, 0.6895689964294434, 0.6887871026992798, 0.6880783438682556, 0.6874352693557739, 0.6868517994880676, 0.6863221526145935, 0.6858413219451904, 0.6854048371315002, 0.685008704662323, 0.6846492290496826, 0.6843231320381165, 0.6840273141860962, 0.6837592720985413, 0.6835162043571472, 0.6832962036132812, 0.6830967664718628, 0.6829162836074829]",RGCN_MLP
3,0.01,0.73,0.8439306358381503,"[0.745, 0.71, 0.665, 0.635, 0.65, 0.66, 0.67, 0.67, 0.695, 0.705, 0.7, 0.71, 0.71, 0.72, 0.73, 0.725, 0.725, 0.735, 0.73, 0.73]","[0.8538681948424068, 0.8304093567251462, 0.7987987987987988, 0.7767584097859327, 0.7878787878787878, 0.7951807228915663, 0.8023952095808383, 0.8023952095808383, 0.8200589970501475, 0.8269794721407625, 0.8235294117647058, 0.8304093567251462, 0.8304093567251462, 0.8372093023255814, 0.8439306358381503, 0.8405797101449275, 0.8405797101449275, 0.8472622478386167, 0.8439306358381503, 0.8439306358381503]","[0.6914255619049072, 0.6900944113731384, 0.6888959407806396, 0.6878138184547424, 0.6868347525596619, 0.685946524143219, 0.6851400136947632, 0.6844068765640259, 0.683739960193634, 0.6831329464912415, 0.6825807094573975, 0.6820782423019409, 0.6816210746765137, 0.6812054514884949, 0.6808274388313293, 0.6804839968681335, 0.6801719665527344, 0.6798887848854065, 0.6796318292617798, 0.6793987154960632]",RGCN_MLP
4,0.01,0.81,0.8950276243093923,"[0.5, 0.585, 0.675, 0.715, 0.76, 0.77, 0.785, 0.805, 0.81, 0.815, 0.81, 0.82, 0.815, 0.815, 0.815, 0.825, 0.815, 0.82, 0.82, 0.81]","[0.6666666666666666, 0.7381703470031545, 0.8059701492537313, 0.8338192419825073, 0.8636363636363636, 0.8700564971751412, 0.8795518207282913, 0.8919667590027701, 0.8950276243093923, 0.8980716253443526, 0.8950276243093923, 0.9010989010989011, 0.8980716253443526, 0.8980716253443526, 0.8980716253443526, 0.9041095890410958, 0.8980716253443526, 0.9010989010989011, 0.9010989010989011, 0.8950276243093923]","[0.6952930688858032, 0.6935755610466003, 0.6920651793479919, 0.6907247304916382, 0.6895239949226379, 0.6884406208992004, 0.6874586343765259, 0.6865683197975159, 0.6857582926750183, 0.6850181818008423, 0.6843407154083252, 0.6837201714515686, 0.6831523180007935, 0.6826328039169312, 0.6821579337120056, 0.6817240715026855, 0.6813278794288635, 0.6809665560722351, 0.6806371212005615, 0.6803368330001831]",RGCN_MLP
5,0.01,0.39,0.5611510791366906,"[0.75, 0.62, 0.545, 0.51, 0.46, 0.435, 0.42, 0.395, 0.415, 0.41, 0.395, 0.39, 0.41, 0.405, 0.41, 0.405, 0.405, 0.4, 0.395, 0.39]","[0.8571428571428571, 0.7654320987654321, 0.7055016181229773, 0.6754966887417219, 0.6301369863013698, 0.6062717770034843, 0.5915492957746479, 0.5663082437275986, 0.5865724381625441, 0.5815602836879432, 0.5663082437275986, 0.5611510791366906, 0.5815602836879432, 0.5765124555160143, 0.5815602836879432, 0.5765124555160143, 0.5765124555160143, 0.5714285714285714, 0.5663082437275986, 0.5611510791366906]","[0.6898947358131409, 0.6883983612060547, 0.6870554089546204, 0.6858309507369995, 0.6847124695777893, 0.683686375617981, 0.6827426552772522, 0.6818743348121643, 0.6810755133628845, 0.6803412437438965, 0.67966628074646, 0.6790465712547302, 0.6784776449203491, 0.6779553294181824, 0.6774763464927673, 0.677037239074707, 0.6766347289085388, 0.6762660145759583, 0.6759286522865295, 0.6756201982498169]",RGCN_MLP
,0.01,0.395,0.5663082437275986,"[0.485, 0.435, 0.44, 0.42, 0.435, 0.43, 0.43, 0.44, 0.43, 0.415, 0.415, 0.42, 0.415, 0.42, 0.41, 0.405, 0.4, 0.4, 0.4, 0.395]","[0.6531986531986532, 0.6062717770034843, 0.6111111111111112, 0.5915492957746479, 0.6062717770034843, 0.6013986013986014, 0.6013986013986014, 0.6111111111111112, 0.6013986013986014, 0.5865724381625441, 0.5865724381625441, 0.5915492957746479, 0.5865724381625441, 0.5915492957746479, 0.5815602836879432, 0.5765124555160143, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5663082437275986]","[0.6973274946212769, 0.6962145566940308, 0.6952199339866638, 0.6943295001983643, 0.6935312747955322, 0.6928148865699768, 0.6921713352203369, 0.6915927529335022, 0.6910723447799683, 0.6906037926673889, 0.6901819705963135, 0.6898020505905151, 0.6894596815109253, 0.6891512870788574, 0.6888733506202698, 0.688622772693634, 0.6883970499038696, 0.6881935596466064, 0.6880101561546326, 0.6878448724746704]",GCN_MLP
,0.01,0.595,0.7460815047021944,,,,CCRNE
,0.01,0.675,0.8059701492537313,,,,MCLS
,0.01,0.73,0.8439306358381503,,,,LP_PUL
,0.01,0.625,0.7692307692307693,,,,PU_LP
,0.01,0.625,0.7692307692307693,,,,RCSVM
,0.01,0.595,0.7460815047021944,,,,RANDOM
2,0.01,0.85,0.918918918918919,,,,RGCN_GAE
3,0.01,0.88,0.9361702127659575,,,,RGCN_GAE
4,0.01,0.855,0.921832884097035,,,,RGCN_GAE
5,0.01,0.87,0.93048128342246,,,,RGCN_GAE
,0.01,0.755,0.8603988603988604,,,,RLP_PUL
,0.01,0.79,0.88268156424581,,,,GCN_GAE
2,0.02,0.855,0.921832884097035,"[0.65, 0.67, 0.64, 0.675, 0.685, 0.705, 0.73, 0.745, 0.775, 0.79, 0.81, 0.815, 0.82, 0.835, 0.84, 0.835, 0.845, 0.845, 0.855, 0.855]","[0.7878787878787878, 0.8023952095808383, 0.7804878048780488, 0.8059701492537313, 0.8130563798219584, 0.8269794721407625, 0.8439306358381503, 0.8538681948424068, 0.8732394366197183, 0.88268156424581, 0.8950276243093923, 0.8980716253443526, 0.9010989010989011, 0.9100817438692098, 0.9130434782608695, 0.9100817438692098, 0.9159891598915989, 0.9159891598915989, 0.921832884097035, 0.921832884097035]","[0.6981471180915833, 0.6968866586685181, 0.6957554221153259, 0.6947389245033264, 0.6938239932060242, 0.6929993033409119, 0.6922547817230225, 0.6915817260742188, 0.6909728050231934, 0.6904217600822449, 0.6899229884147644, 0.689471423625946, 0.6890627145767212, 0.6886926889419556, 0.6883578300476074, 0.6880548596382141, 0.6877807378768921, 0.6875327825546265, 0.6873086094856262, 0.6871058940887451]",RGCN_MLP
3,0.02,0.795,0.8857938718662952,"[0.745, 0.74, 0.735, 0.735, 0.72, 0.73, 0.73, 0.735, 0.745, 0.74, 0.75, 0.76, 0.775, 0.785, 0.775, 0.77, 0.78, 0.79, 0.795, 0.795]","[0.8538681948424068, 0.8505747126436781, 0.8472622478386167, 0.8472622478386167, 0.8372093023255814, 0.8439306358381503, 0.8439306358381503, 0.8472622478386167, 0.8538681948424068, 0.8505747126436781, 0.8571428571428571, 0.8636363636363636, 0.8732394366197183, 0.8795518207282913, 0.8732394366197183, 0.8700564971751412, 0.8764044943820225, 0.88268156424581, 0.8857938718662952, 0.8857938718662952]","[0.6949405074119568, 0.693775475025177, 0.6927156448364258, 0.6917514801025391, 0.6908724904060364, 0.6900690793991089, 0.6893339157104492, 0.688660740852356, 0.6880441904067993, 0.6874796748161316, 0.6869628429412842, 0.6864898204803467, 0.6860571503639221, 0.6856614351272583, 0.6852996349334717, 0.684969425201416, 0.6846678853034973, 0.6843929886817932, 0.6841424703598022, 0.6839144229888916]",RGCN_MLP
4,0.02,0.715,0.8338192419825073,"[0.66, 0.63, 0.65, 0.685, 0.705, 0.71, 0.695, 0.68, 0.675, 0.68, 0.67, 0.665, 0.67, 0.69, 0.705, 0.705, 0.71, 0.715, 0.71, 0.715]","[0.7951807228915663, 0.7730061349693251, 0.7878787878787878, 0.8130563798219584, 0.8269794721407625, 0.8304093567251462, 0.8200589970501475, 0.8095238095238095, 0.8059701492537313, 0.8095238095238095, 0.8023952095808383, 0.7987987987987988, 0.8023952095808383, 0.8165680473372781, 0.8269794721407625, 0.8269794721407625, 0.8304093567251462, 0.8338192419825073, 0.8304093567251462, 0.8338192419825073]","[0.6940606832504272, 0.6927891373634338, 0.6916651129722595, 0.6906513571739197, 0.6897324323654175, 0.688899576663971, 0.6881412267684937, 0.6874471306800842, 0.6868107318878174, 0.6862266063690186, 0.6856907606124878, 0.6851993203163147, 0.684748649597168, 0.6843360066413879, 0.6839584708213806, 0.6836132407188416, 0.6832979917526245, 0.6830102205276489, 0.6827478408813477, 0.6825088858604431]",RGCN_MLP
5,0.02,0.615,0.7616099071207431,"[0.73, 0.7, 0.675, 0.65, 0.625, 0.57, 0.58, 0.58, 0.59, 0.575, 0.58, 0.59, 0.6, 0.6, 0.61, 0.61, 0.615, 0.62, 0.62, 0.615]","[0.8439306358381503, 0.8235294117647058, 0.8059701492537313, 0.7878787878787878, 0.7692307692307693, 0.7261146496815286, 0.7341772151898734, 0.7341772151898734, 0.7421383647798742, 0.7301587301587301, 0.7341772151898734, 0.7421383647798742, 0.75, 0.75, 0.7577639751552795, 0.7577639751552795, 0.7616099071207431, 0.7654320987654321, 0.7654320987654321, 0.7616099071207431]","[0.6969244480133057, 0.6952177286148071, 0.6937624216079712, 0.6925011873245239, 0.6913933157920837, 0.6904064416885376, 0.6895201802253723, 0.6887199878692627, 0.6879947781562805, 0.6873353123664856, 0.6867344975471497, 0.6861864328384399, 0.685685932636261, 0.6852286458015442, 0.6848109364509583, 0.6844295263290405, 0.6840813755989075, 0.6837636232376099, 0.6834739446640015, 0.6832097768783569]",RGCN_MLP
,0.02,0.475,0.6440677966101694,"[0.5, 0.495, 0.495, 0.485, 0.485, 0.48, 0.485, 0.485, 0.48, 0.48, 0.475, 0.48, 0.485, 0.48, 0.48, 0.47, 0.47, 0.465, 0.47, 0.475]","[0.6666666666666666, 0.6622073578595318, 0.6622073578595318, 0.6531986531986532, 0.6531986531986532, 0.6486486486486487, 0.6531986531986532, 0.6531986531986532, 0.6486486486486487, 0.6486486486486487, 0.6440677966101694, 0.6486486486486487, 0.6531986531986532, 0.6486486486486487, 0.6486486486486487, 0.6394557823129252, 0.6394557823129252, 0.6348122866894198, 0.6394557823129252, 0.6440677966101694]","[0.6918371915817261, 0.6903621554374695, 0.6890363097190857, 0.6878434419631958, 0.6867697834968567, 0.6858027577400208, 0.6849316358566284, 0.6841467022895813, 0.6834390759468079, 0.6828012466430664, 0.6822262406349182, 0.6817077398300171, 0.6812403202056885, 0.6808188557624817, 0.6804389357566833, 0.680096447467804, 0.6797876358032227, 0.6795092821121216, 0.6792583465576172, 0.6790323257446289]",GCN_MLP
,0.02,0.56,0.717948717948718,,,,CCRNE
,0.02,0.615,0.7616099071207431,,,,MCLS
,0.02,0.725,0.8405797101449275,,,,LP_PUL
,0.02,0.625,0.7692307692307693,,,,PU_LP
,0.02,0.625,0.7692307692307693,,,,RCSVM
,0.02,0.625,0.7692307692307693,,,,RANDOM
2,0.02,0.9,0.9473684210526315,,,,RGCN_GAE
3,0.02,0.905,0.9501312335958005,,,,RGCN_GAE
4,0.02,0.89,0.9417989417989417,,,,RGCN_GAE
5,0.02,0.895,0.9445910290237467,,,,RGCN_GAE
,0.02,0.775,0.8732394366197183,,,,RLP_PUL
,0.02,0.72,0.8372093023255814,,,,GCN_GAE
2,0.03,0.72,0.8372093023255814,"[0.52, 0.525, 0.53, 0.555, 0.58, 0.595, 0.63, 0.63, 0.65, 0.665, 0.68, 0.69, 0.7, 0.705, 0.71, 0.72, 0.72, 0.715, 0.72, 0.72]","[0.6842105263157895, 0.6885245901639344, 0.6928104575163399, 0.7138263665594855, 0.7341772151898734, 0.7460815047021944, 0.7730061349693251, 0.7730061349693251, 0.7878787878787878, 0.7987987987987988, 0.8095238095238095, 0.8165680473372781, 0.8235294117647058, 0.8269794721407625, 0.8304093567251462, 0.8372093023255814, 0.8372093023255814, 0.8338192419825073, 0.8372093023255814, 0.8372093023255814]","[0.6937357187271118, 0.6923343539237976, 0.6910750269889832, 0.68994140625, 0.6889194846153259, 0.6879969835281372, 0.6871634125709534, 0.6864097118377686, 0.6857278943061829, 0.6851108074188232, 0.6845521926879883, 0.6840465068817139, 0.6835886240005493, 0.6831743717193604, 0.6827992796897888, 0.6824598908424377, 0.6821528077125549, 0.6818750500679016, 0.6816239356994629, 0.6813968420028687]",RGCN_MLP
3,0.03,0.585,0.7381703470031545,"[0.495, 0.555, 0.555, 0.555, 0.555, 0.55, 0.56, 0.565, 0.565, 0.565, 0.575, 0.565, 0.555, 0.56, 0.565, 0.57, 0.575, 0.575, 0.585, 0.585]","[0.6622073578595318, 0.7138263665594855, 0.7138263665594855, 0.7138263665594855, 0.7138263665594855, 0.7096774193548387, 0.717948717948718, 0.7220447284345048, 0.7220447284345048, 0.7220447284345048, 0.7301587301587301, 0.7220447284345048, 0.7138263665594855, 0.717948717948718, 0.7220447284345048, 0.7261146496815286, 0.7301587301587301, 0.7301587301587301, 0.7381703470031545, 0.7381703470031545]","[0.6953420042991638, 0.6941198110580444, 0.6930216550827026, 0.6920300722122192, 0.6911313533782959, 0.690314769744873, 0.6895712018013, 0.6888932585716248, 0.6882745027542114, 0.6877093315124512, 0.6871932148933411, 0.6867216229438782, 0.6862908005714417, 0.6858972311019897, 0.6855379939079285, 0.6852102279663086, 0.6849114298820496, 0.6846391558647156, 0.68439120054245, 0.6841656565666199]",RGCN_MLP
4,0.03,0.92,0.9583333333333334,"[0.85, 0.865, 0.88, 0.86, 0.89, 0.9, 0.925, 0.93, 0.94, 0.93, 0.935, 0.93, 0.925, 0.925, 0.93, 0.93, 0.935, 0.935, 0.92, 0.92]","[0.918918918918919, 0.9276139410187667, 0.9361702127659575, 0.9247311827956989, 0.9417989417989417, 0.9473684210526315, 0.961038961038961, 0.9637305699481865, 0.9690721649484536, 0.9637305699481865, 0.9664082687338501, 0.9637305699481865, 0.961038961038961, 0.961038961038961, 0.9637305699481865, 0.9637305699481865, 0.9664082687338501, 0.9664082687338501, 0.9583333333333334, 0.9583333333333334]","[0.6967048645019531, 0.6953560709953308, 0.6941667199134827, 0.6931102871894836, 0.6921669840812683, 0.6913198232650757, 0.6905547976493835, 0.6898610591888428, 0.6892303824424744, 0.6886560320854187, 0.6881328225135803, 0.6876561045646667, 0.6872217059135437, 0.686826229095459, 0.6864659786224365, 0.6861380934715271, 0.685839831829071, 0.6855685710906982, 0.6853220462799072, 0.6850981116294861]",RGCN_MLP
5,0.03,0.405,0.5765124555160143,"[0.42, 0.455, 0.445, 0.46, 0.44, 0.44, 0.465, 0.46, 0.45, 0.45, 0.435, 0.42, 0.415, 0.415, 0.43, 0.415, 0.42, 0.415, 0.41, 0.405]","[0.5915492957746479, 0.6254295532646048, 0.615916955017301, 0.6301369863013698, 0.6111111111111112, 0.6111111111111112, 0.6348122866894198, 0.6301369863013698, 0.6206896551724138, 0.6206896551724138, 0.6062717770034843, 0.5915492957746479, 0.5865724381625441, 0.5865724381625441, 0.6013986013986014, 0.5865724381625441, 0.5915492957746479, 0.5865724381625441, 0.5815602836879432, 0.5765124555160143]","[0.6979116797447205, 0.6963202357292175, 0.6949062347412109, 0.6936430931091309, 0.6925088763237, 0.6914840340614319, 0.6905526518821716, 0.6897040009498596, 0.6889294385910034, 0.6882215142250061, 0.687574565410614, 0.6869826912879944, 0.6864415407180786, 0.6859467029571533, 0.6854944229125977, 0.6850811839103699, 0.6847039461135864, 0.6843597292900085, 0.6840459108352661, 0.6837599277496338]",RGCN_MLP
,0.03,0.44,0.6111111111111112,"[0.575, 0.545, 0.495, 0.48, 0.48, 0.47, 0.465, 0.46, 0.465, 0.46, 0.445, 0.455, 0.445, 0.43, 0.435, 0.44, 0.44, 0.44, 0.435, 0.44]","[0.7301587301587301, 0.7055016181229773, 0.6622073578595318, 0.6486486486486487, 0.6486486486486487, 0.6394557823129252, 0.6348122866894198, 0.6301369863013698, 0.6348122866894198, 0.6301369863013698, 0.615916955017301, 0.6254295532646048, 0.615916955017301, 0.6013986013986014, 0.6062717770034843, 0.6111111111111112, 0.6111111111111112, 0.6111111111111112, 0.6062717770034843, 0.6111111111111112]","[0.6962319016456604, 0.6950181126594543, 0.6939318776130676, 0.6929579973220825, 0.6920836567878723, 0.6912976503372192, 0.6905903816223145, 0.6899534463882446, 0.6893796920776367, 0.6888625025749207, 0.6883962750434875, 0.6879758834838867, 0.6875967979431152, 0.6872549653053284, 0.6869467496871948, 0.6866688132286072, 0.6864181756973267, 0.6861922740936279, 0.6859886050224304, 0.6858049631118774]",GCN_MLP
,0.03,0.61,0.7577639751552795,,,,CCRNE
,0.03,0.655,0.7915407854984894,,,,MCLS
,0.03,0.735,0.8472622478386167,,,,LP_PUL
,0.03,0.625,0.7692307692307693,,,,PU_LP
,0.03,0.625,0.7692307692307693,,,,RCSVM
,0.03,0.62,0.7654320987654321,,,,RANDOM
2,0.03,0.91,0.9528795811518325,,,,RGCN_GAE
3,0.03,0.9,0.9473684210526315,,,,RGCN_GAE
4,0.03,0.9,0.9473684210526315,,,,RGCN_GAE
5,0.03,0.87,0.93048128342246,,,,RGCN_GAE
,0.03,0.845,0.9159891598915989,,,,RLP_PUL
,0.03,0.74,0.8505747126436781,,,,GCN_GAE
