,model,embedding,sample,f1_score,acc_score,P
0,ocsvm,None,0,0.887459807073955,0.9002849002849003,0.05
0,ocsvm,GAE,0,0.8310387984981227,0.8461538461538461,0.05
0,ocsvm,node2vec,0,0.5248534838289559,0.37635327635327637,0.05
0,ocsvm,RGAE,0,0.008153756552125802,0.5148148148148148,0.05
0,LP_PUL,None,0,0.7502002517450509,0.6890313390313391,0.05
0,RLP_PUL,None,0,0.7656988521269412,0.7034188034188035,0.05
0,PU_LP,None,0,0.0,0.5128205128205128,0.05
0,RPU_LP,None,0,0.0,0.5128205128205128,0.05
0,Distance Mean,None,0,0.6664717348927875,0.5125356125356125,0.05
0,Distance Mean,GAE,0,0.6641325536062378,0.5091168091168091,0.05
0,Distance Mean,node2vec,0,0.631578947368421,0.46153846153846156,0.05
0,Distance Mean,RGAE,0,0.7511092028052097,0.7522792022792023,0.05
