,model,embedding,sample,f1_score,acc_score,P
0,ocsvm,None,0,0.40237859266600595,0.547976011994003,0.05
0,ocsvm,GAE,0,0.6702444841979726,0.7927286356821589,0.05
0,ocsvm,node2vec,0,0.3415384615384615,0.5187406296851574,0.05
0,ocsvm,RGAE,0,0.0,0.7083958020989505,0.05
0,LP_PUL,None,0,0.48282566429034346,0.4017991004497751,0.05
0,RLP_PUL,None,0,0.4817980373535929,0.38643178410794604,0.05
0,PU_LP,None,0,0.0,0.7083958020989505,0.05
0,RPU_LP,None,0,0.0,0.7083958020989505,0.05
0,Distance Mean,None,0,0.451556077510276,0.29985007496251875,0.05
0,Distance Mean,GAE,0,0.46709519436792163,0.3474512743628186,0.05
0,Distance Mean,node2vec,0,0.44933920704845814,0.2972263868065967,0.05
0,Distance Mean,RGAE,0,0.5098976109215017,0.4617691154422789,0.05
0,ocsvm,None,0,0.3916083916083916,0.5032356299961934,0.1
0,ocsvm,GAE,0,0.5727743758831841,0.6547392462885421,0.1
0,ocsvm,node2vec,0,0.3783080260303688,0.45451084887704607,0.1
0,ocsvm,RGAE,0,0.0,0.7194518462124095,0.1
0,LP_PUL,None,0,0.46153846153846156,0.39512752188808525,0.1
0,RLP_PUL,None,0,0.4860691507217187,0.4172059383326989,0.1
0,PU_LP,None,0,0.0,0.7194518462124095,0.1
0,RPU_LP,None,0,0.0,0.7194518462124095,0.1
0,Distance Mean,None,0,0.43618641486445325,0.2953939855348306,0.1
0,Distance Mean,GAE,0,0.4512725015518312,0.3269889607917777,0.1
0,Distance Mean,node2vec,0,0.4343588181541273,0.2931100114198706,0.1
0,Distance Mean,RGAE,0,0.6542056074766355,0.8028169014084507,0.1
